5	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	2	rel	_	_
6	das	die	P	PDS	Neut|Nom|Sg	5	subj	_	_
7	bedeuten	bedeuten	V	VVINF	_	5	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Weiring	Weiring	N	NN	Masc|_|Sg	0	root	119	119
2	Komm	Komm	N	NE	Masc|_|Sg	1	app	119	119
3	her	her	P	PTKVZ	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	mein	meine	A	PPOSAT	Neut|_|Sg	6	det	106	106
6	Kind	Kind	N	NN	Neut|_|Sg	0	root	106	106
7	...	...	$	$.	_	0	root	_	_
8	hör	hören	V	VVIMP	Sg	0	root	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	8	objd	523	523
10	ruhig	ruhig	A	ADJD	Pos|	8	adv	_	_
11	zu	zu	P	PTKVZ	_	8	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	Schau	schau	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	523	523
4	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
5	'	'	$	$(	_	0	root	_	_
6	dir	du	P	PPER	2|Sg|_|Dat	10	objd	524	524
7	ja	ja	A	ADV	_	10	adv	_	_
8	auch	auch	A	ADV	_	10	adv	_	_
9	ruhig	ruhig	A	ADJD	Pos|	10	adv	_	_
10	zugehört	zugehören	V	VVPP	_	4	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	P	PWAV	_	17	adv	_	_
13	du	du	P	PPER	2|Sg|_|Nom	18	subj	524	524
14	mir	ich	P	PPER	1|Sg|_|Dat	17	objd	523	523
15	'	'	$	$(	_	0	root	_	_
16	s	s	P	PPER	_	17	obja	_	_
17	erzählt	erzählen	V	VVPP	_	18	aux	_	_
18	hast	haben	V	VAFIN	2|Sg|Pres|Ind	10	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	_	_
3	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	-	-	$	$(	_	0	root	_	_

1	Christine	Christine	N	NE	Fem|_|Sg	0	root	87	87
2	Ich	ich	P	PPER	_|Nom|Sg	0	root	155	155
3	bitt	bitt	N	NN	_	2	app	155	155
4	'	'	$	$(	_	0	root	_	_
5	dich	du	P	PPER	2|Sg|_|Acc	0	root	524	524
6	,	,	$	$,	_	0	root	_	_
7	sprich	sprechen	V	VVIMP	Sg	0	root	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	zu	zu	P	APPR	Dat	7	pp	_	_
11	mir	ich	P	PPER	1|Sg|_|Dat	10	pn	523	523
12	,	,	$	$,	_	0	root	_	_
13	Vater	Vater	N	NN	Masc|Dat|Sg	11	app	_	_
14	...	...	$	$.	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	20	konj	_	_
16	du	du	P	PPER	2|Sg|_|Nom	20	subj	524	524
17	jetzt	jetzt	A	ADV	_	19	adv	_	_
18	darüber	darüber	P	PROAV	_	19	pp	_	_
19	nachgedacht	nachdenken	V	VVPP	_	20	aux	_	_
20	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
21	und	und	K	KON	_	20	kon	_	_
22	einsiehst	einsehen	V	VVFIN	2|Sg|Pres|Ind	21	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	daß	daß	K	KOUS	_	29	konj	_	_
25	du	du	P	PPER	2|Sg|_|Nom	29	subj	524	524
26	mir	ich	P	PPER	1|Sg|_|Dat	28	objd	523	523
27	nicht	nicht	P	PTKNEG	_	28	adv	_	_
28	verzeihen	verzeihen	V	VVINF	_	29	aux	_	_
29	kannst	können	V	VMFIN	2|Sg|Pres|Ind	22	objc	_	_
30	,	,	$	$,	_	0	root	_	_
31	so	so	A	ADV	_	32	adv	_	_
32	jag	jag	A	ADJD	_	34	adv	_	_
33	'	'	$	$(	_	0	root	_	_
34	mich	ich	P	PPER	1|Sg|_|Acc	0	root	523	523
35	davon	davon	P	PROAV	_	0	root	_	_
36	-	-	$	$(	_	0	root	_	_
37	aber	aber	K	KON	_	0	root	_	_
38	sprich	sprechen	V	VVIMP	Sg	37	cj	_	_
39	nicht	nicht	P	PTKNEG	_	38	adv	_	_
40	so	so	A	ADV	_	39	adv	_	_
41	...	...	$	$.	_	0	root	_	_

1	Weiring	Weiring	N	NN	Masc|_|Sg	0	root	_	_
2	Hör	Hör	N	NE	Masc|_|Sg	1	app	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	0	root	523	523
4	nur	nur	A	ADV	_	5	adv	_	_
5	ruhig	ruhig	A	ADJD	Pos|	0	root	_	_
6	an	an	P	PTKVZ	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	Christin	Christin	N	NN	Fem|_|Sg	0	root	187	187
9	'	'	$	$(	_	0	root	_	_
10	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	524	524
2	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	7	adv	_	_
4	dann	dann	A	ADV	_	7	adv	_	_
5	noch	noch	A	ADV	_	7	adv	_	_
6	immer	immer	A	ADV	_	7	adv	_	_
7	tun	tun	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	was	was	P	PRELS	Neut|_|Sg	11	obja	_	_
10	du	du	P	PPER	2|Sg|_|Nom	11	subj	524	524
11	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	7	rel	_	_
12	...	...	$	$.	_	0	root	_	_
13	Schau	Schau	N	NN	Fem|_|Sg	16	vok	525	525
14	,	,	$	$,	_	0	root	_	_
15	du	du	P	PPER	2|Sg|_|Nom	16	subj	524	524
16	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
17	ja	ja	A	ADV	_	16	adv	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	jung	jung	A	ADJD	Pos|	16	pred	_	_
20	,	,	$	$,	_	0	root	_	_
21	Christin	Christin	N	NN	Fem|_|Sg	16	vok	187	187
22	'	'	$	$(	_	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	denn	denn	A	ADV	_	6	adv	_	_
4	noch	noch	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	gedacht	denken	V	VVPP	_	2	aux	_	_
7	...	...	$	$.	_	0	root	_	_

1	Sehr	sehr	A	ADV	_	2	adv	_	_
2	zögernd	zögern	A	ADJD	_|<PPRES	3	adv	_	_
3	daß	daß	K	KOUS	_	0	root	_	_
4	das	die	A	ART	Def|Neut|_|Sg	5	det	526	526
5	Ganze	Ganze	N	NN	Neut|_|Sg	0	root	526	526
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Irrtum	Irrtum	N	NN	Masc|Nom|Sg	8	pred	_	_
