11	mit	mit	P	APPR	Dat	15	pp	_	_
12	einem	eine	A	ART	Indef|Masc|Dat|Sg	14	det	_	_
13	italienischen	italienisch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	14	attr	_	_
14	Prinzen	Prinz	N	NN	Masc|Dat|Sg	11	pn	_	_
15	verlobt	verloben	V	VVPP	_	16	aux	_	_
16	gewesen	sein	V	VAPP	_	17	aux	_	_
17	war	sein	V	VAFIN	3|Sg|Past|Ind	8	rel	_	_
18	?	?	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	417	417
2	nickte	nicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Plötzlich	plötzlich	A	ADJD	Pos|	2	pred	_	_
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	einer	eine	P	PIS	Masc|Nom|Sg	2	subj	_	_
4	der	die	A	ART	Def|_|Gen|Pl	5	det	385	385
5	Kavaliere	Kavalier	N	NN	_|Gen|Pl	3	gmod	385	385
6	da	da	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	der	die	A	ART	Def|_|_|_	9	det	_	_
9	vornehmste	vornehm	A	ADJA	Masc|Nom|Sg	0	root	_	_
10	von	von	P	APPR	Dat	9	pp	_	_
11	allen	alle	P	PIS	_|Dat|Pl	10	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	der	die	A	ART	Def|_|_|_	14	det	_	_
14	einzige	einzig	A	ADJA	Masc|Nom|Sg	9	app	_	_
15	in	in	P	APPR	Dat	14	pp	_	_
16	weißer	weiß	A	ADJA	Pos|Fem|Dat|Sg|St|	17	attr	_	_
17	Tracht	Tracht	N	NN	Fem|Dat|Sg	15	pn	_	_
18	;	;	$	$.	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	mit	mit	P	APPR	Dat	19	cj	_	_
21	einer	eine	A	ART	Indef|Fem|_|Sg	22	det	_	_
22	kurzen	kurz	A	ADJA	Fem|_|Sg	20	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	zwar	zwar	A	ADV	_	25	adv	_	_
25	höflichen	höflich	A	ADJA	Pos|_|_|_|_|	22	kon	_	_
26	,	,	$	$,	_	0	root	_	_
27	doch	doch	K	KON	_	0	root	_	_
28	zugleich	zugleich	A	ADV	_	29	adv	_	_
29	gebieterischen	gebieterisch	A	ADJA	Pos|Fem|Dat|Sg|Wk|	30	attr	_	_
30	Verneigung	Verneigung	N	NN	Fem|Dat|Sg	31	objd	_	_
31	forderte	fordern	V	VVFIN	3|Sg|Past|_	27	cj	_	_
32	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	3	3
33	die	die	A	ART	Def|Fem|_|Sg	34	det	262	262
