4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	649	649
5	Wald	Wald	N	NN	Masc|Nom|Sg	3	subj	649	649
6	nahe	nahe	A	ADJD	_	3	adv	_	_
7	an	an	P	APPR	Acc	3	pp	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	645	645
9	Garten	Garten	N	NN	Masc|Acc|Sg	7	pn	645	645
10	.	.	$	$.	_	0	root	_	_

1	Maimorgen	Maimorgen	N	NN	_|_|_	0	root	_	_
2	.	.	$	$.	_	0	root	_	_

1	Stiller	still	A	ADJA	Pos|Masc|_|_|St|	3	attr	_	_
2	blauer	blau	A	ADJA	Pos|Masc|_|_|St|	3	attr	_	_
3	Himmel	Himmel	N	NN	Masc|_|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Sonne	Sonne	N	NN	Fem|_|Sg	3	app	_	_
6	.	.	$	$.	_	0	root	_	_

1	Zuweilen	zuweilen	A	ADV	_	2	adv	_	_
2	laufen	laufen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Kinder	Kind	N	NN	Neut|Nom|Pl	2	subj	135	135
4	über	über	P	APPR	Acc	2	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	650	650
6	Wiese	Wiese	N	NN	Fem|Acc|Sg	4	pn	650	650
7	,	,	$	$,	_	0	root	_	_
8	spielen	spielen	V	VVFIN	_|Pl|Pres|_	2	kon	_	_
9	wohl	wohl	A	ADV	_	8	adv	_	_
10	auch	auch	A	ADV	_	8	adv	_	_
11	eine	eine	A	ART	Indef|Fem|_|Sg	12	det	_	_
12	Weile	Weile	N	NN	Fem|_|Sg	8	obja	_	_
13	am	an	P	APPRART	Dat	8	pp	_	_
14	Waldesrand	Waldesrand	N	NN	Masc|Dat|Sg	13	pn	783	783
15	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	6	subj	103	103
3	und	und	K	KON	_	2	kon	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	76	76
5	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	3	cj	76	76
6	treten	treten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
7	aus	aus	P	APPR	Dat	6	objp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	_	_
9	Hause	Haus	N	NN	Neut|Dat|Sg	7	pn	_	_
10	in	in	P	APPR	Acc	9	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	645	645
12	Garten	Garten	N	NN	Masc|Acc|Sg	10	pn	645	645
13	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
