14	zeigte	zeigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	den	die	A	ART	Def|Fem|Dat|Pl	16	det	7	7
16	Damen	Dame	N	NN	Fem|Dat|Pl	14	objd	7	7
17	und	und	K	KON	_	16	kon	_	_
18	Herren	Herr	N	NN	Masc|Dat|_	17	cj	27	27
19	die	die	A	ART	Def|Fem|_|Sg	20	det	_	_
20	Photographie	Photographie	N	NN	Fem|_|Sg	14	obja	_	_
21	von	von	P	APPR	_	20	pp	_	_
22	Fräulein	Fräulein	N	NN	Neut|_|_	21	pn	60	60
23	Flora	Flora	N	NE	Neut|_|_	22	app	60	60
24	Mohr	Mohr	N	NE	Neut|_|_	23	app	60	60
25	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	3	adv	_	_
3	trank	trinken	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	man	man	P	PIS	_|Nom|Sg	3	subj	_	_
5	wieder	wieder	A	ADV	_	6	adv	416	416
6	echtes	echt	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	416	416
7	Münchner	Münchner	N	NN	Masc|_|_	3	obja	416	416
8	Spatenbräu	Spatenbräu	N	NE	Masc|_|_	7	app	416	416
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	18	konj	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	1	1
4	Baron	Baron	N	NN	Masc|Nom|Sg	18	subj	1	1
5	mit	mit	P	APPR	Dat	18	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	8	8
7	Gräfin	Gräfin	N	NN	Fem|Dat|Sg	5	pn	8	8
8	Clarissa	Clarissa	N	NE	Fem|Dat|Sg	7	app	8	8
9	zusammen	zusammen	A	ADV	_	18	adv	_	_
10	beim	bei	P	APPRART	Dat	18	pp	_	_
11	Morgengrauen	Morgengrauen	N	NN	_|Dat|_	10	pn	417	417
12	auf	auf	P	APPR	Dat	18	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	15	det	418	418
14	festen	fest	A	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	418	418
15	Sande	Sand	N	NN	Masc|Dat|Sg	12	pn	418	418
16	des	die	A	ART	Def|Masc|Gen|Sg	17	det	419	419
17	Seestrandes	Seestrand	N	NN	Masc|Gen|Sg	15	gmod	418	418
18	dahinfuhr	dahinfahren	V	VVFIN	3|Sg|Past|Ind	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	rief	rufen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	86	86
22	Baron	Baron	N	NN	Masc|Nom|Sg	20	subj	86	86
23	der	die	A	ART	Def|Fem|Gen|Sg	24	det	208	208
24	Gräfin	Gräfin	N	NN	Fem|Gen|Sg	22	gmod	86	86
25	ins	in	P	APPRART	Acc	20	pp	_	_
26	Ohr	Ohr	N	NN	Neut|Acc|Sg	25	pn	262	262
27	,	,	$	$,	_	0	root	_	_
28	da	da	K	KOUS	_	35	konj	_	_
29	die	die	A	ART	Def|Fem|Nom|Pl	30	det	261	261
30	Wellen	Welle	N	NN	Fem|Nom|Pl	35	subj	261	261
31	des	die	A	ART	Def|Neut|Gen|Sg	32	det	260	260
32	Meeres	Meer	N	NN	Neut|Gen|Sg	30	gmod	260	260
33	so	so	A	ADV	_	34	adv	_	_
34	heftig	heftig	A	ADJD	Pos|	35	adv	_	_
35	rauschten	rauschen	V	VVFIN	3|Pl|Past|_	20	neb	_	_
36	:	\:	$	$.	_	0	root	_	_
37	»	»	$	$(	_	0	root	_	_
38	Clarissa	Clarissa	N	NE	_	0	root	8	8
39	!	!	$	$.	_	0	root	_	_

1	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
2	nur	nur	A	ADV	_	4	adv	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Mondschein	Mondschein	N	NN	Masc|Acc|Sg	1	obja	_	_
5	auf	auf	P	APPR	Dat	1	pp	_	_
6	den	die	A	ART	Def|Fem|Dat|Pl	7	det	261	261
7	Wellen	Welle	N	NN	Fem|Dat|Pl	5	pn	261	261
8	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	264	264
2	Große	groß	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	264	264
3	Ozean	Ozean	N	NN	Masc|Nom|Sg	4	subj	264	264
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	herrlich	herrlich	A	ADJD	Pos|	4	pred	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	Nach	nach	P	APPR	Dat	13	pp	_	_
10	diesen	diese	A	PDAT	Neut|Dat|Pl	11	det	62	62
11	Worten	Wort	N	NN	Neut|Dat|Pl	9	pn	62	62
12	jedoch	jedoch	A	ADV	_	9	adv	_	_
13	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
