18	des	die	A	ART	Def|Neut|Gen|Sg	20	det	_	_
19	freiherrlichen	freiherrlich	A	ADJA	Pos|Neut|Gen|Sg|_|	20	attr	_	_
20	Automobils	Automobil	N	NN	Neut|Gen|Sg	17	gmod	_	_
21	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	viele	viele	A	PIDAT	Fem|Nom|Pl	4	det	493	493
3	weiße	weiß	A	ADJA	Pos|Fem|Nom|Pl|St|	4	attr	493	493
4	Möwen	Möwe	N	NN	Fem|Nom|Pl	5	subj	493	493
5	flogen	fliegen	V	VVFIN	3|Pl|Past|Ind	1	cj	_	_
6	vorüber	vorüber	A	ADV	_	5	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	2	det	_	_
2	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	7	subj	_	_
3	aus	aus	P	APPR	Dat	2	pp	_	_
4	Grönland	Grönland	N	NE	_|Dat|_	3	pn	6	6

1	Im	in	P	APPRART	Dat	6	pp	_	_
2	März	März	N	NN	_|Dat|_	1	pn	_	_
3	des	die	A	ART	Def|Neut|Gen|Sg	4	det	_	_
4	Jahres	Jahr	N	NN	Neut|Gen|Sg	2	gmod	_	_
5	1908	1908	C	CARD	_	4	app	_	_
6	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	1	1
8	alte	alt	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	1	1
9	Baron	Baron	N	NN	Masc|Nom|Sg	6	subj	1	1
10	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	9	app	1	1
11	in	in	P	APPR	_	6	pp	_	_
12	Grönland	Grönland	N	NE	Neut|_|Sg	11	pn	_	_
13	bei	bei	P	APPR	Dat	6	pp	_	_
14	den	die	A	ART	Def|Masc|Dat|Pl	15	det	494	494
15	Eskimos	Eskimo	N	NN	Masc|Dat|Pl	13	pn	494	494
16	und	und	K	KON	_	6	kon	_	_
17	erzählte	erzählen	V	VVFIN	_|Sg|Past|_	16	cj	_	_
18	ihnen	sie	P	PPER	3|Pl|_|Dat	17	objd	493	493
19	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	_	_
20	lustige	lustig	A	ADJA	Pos|Fem|_|Sg|_|	21	attr	_	_
21	Geschichte	Geschichte	N	NN	Fem|_|Sg	17	obja	_	_
22	.	.	$	$.	_	0	root	_	_

1	Neben	neben	P	APPR	Dat	12	pp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	198	198
3	Baron	Baron	N	NN	Masc|Dat|Sg	1	pn	198	198
4	,	,	$	$,	_	0	root	198	198
5	der	die	P	PRELS	Masc|Nom|Sg	10	subj	198	198
6	schon	schon	A	ADV	_	10	adv	_	_
7	hundertvierundachtzig	hundertvierundachtzig	C	CARD	_	8	attr	_	_
8	Jahre	Jahr	N	NN	Neut|_|Pl	9	grad	_	_
9	alt	alt	A	ADJD	Pos|	10	pred	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	3	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	wie	wie	K	KOKOM	_	12	kom	_	_
14	immer	immer	A	ADV	_	13	cj	_	_
15	in	in	P	APPR	Dat	12	pp	_	_
16	den	die	A	ART	Def|Neut|Dat|Pl	18	det	_	_
17	letzten	letzte	A	ADJA	Pos|Neut|Dat|Pl|_|	18	attr	_	_
18	Jahren	Jahr	N	NN	Neut|Dat|Pl	15	pn	_	_
19	die	die	A	ART	Def|Fem|Nom|Sg	20	det	20	20
20	Gräfin	Gräfin	N	NN	Fem|Nom|Sg	12	subj	20	20
21	Clarissa	Clarissa	N	NE	Fem|Nom|Sg	20	app	20	20
22	vom	von	P	APPRART	Dat	20	pp	_	_
23	Rabenstein	Rabenstein	N	NN	Masc|Dat|Sg	22	pn	21	21
24	.	.	$	$.	_	0	root	_	_

1	Beide	beide	P	PIS	_|Nom|Pl	2	subj	_	_
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	dicke	dick	A	ADJA	Pos|Masc|_|Pl|St|	4	attr	_	_
4	Pelze	Pelz	N	NN	Masc|_|Pl	2	obja	_	_
5	an	an	P	PTKVZ	_	2	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	_	_
2	Tranlampe	Tranlampe	N	NN	Fem|Nom|Sg	3	subj	_	_
3	flackerte	flackern	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	495	495
2	Häuptling	Häuptling	N	NN	Masc|Nom|Sg	5	subj	495	495
3	der	die	A	ART	Def|Masc|Gen|Pl	4	det	494	494
4	Eskimos	Eskimo	N	NN	Masc|Gen|Pl	2	gmod	494	494
5	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	erklärt	erklären	V	VVPP	_	5	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	17	konj	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	495	495
10	furchtbar	furchtbar	A	ADJD	Pos|	16	adv	_	_
11	gerne	gerne	A	ADV	_	16	adv	_	_
12	was	was	A	PIAT	Neut|_|Sg	13	det	_	_
13	Näheres	Näheres	N	NN	Neut|_|Sg	16	obja	_	_
14	vom	von	P	APPRART	Dat	16	pp	_	_
15	Nordpol	Nordpol	N	NN	Masc|Dat|Sg	14	pn	_	_
16	hören	hören	V	VVINF	_	17	aux	_	_
17	möchte	mögen	V	VMFIN	3|Sg|Past|Subj	6	objc	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mein	meine	A	PPOSAT	Masc|Nom|Sg	4	det	497	497
3	lieber	lieb	A	ADJA	Pos|Masc|Nom|Sg|St|	4	attr	_	_
4	Freund	Freund	N	NN	Masc|Nom|Sg	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	sagte	sagen	V	VVFIN	3|Sg|Past|_	4	par	_	_
8	darauf	darauf	P	PROAV	_	7	pp	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	3	3
10	Baron	Baron	N	NN	Masc|Nom|Sg	7	subj	3	3
11	freundlich	freundlich	A	ADJD	Pos|	7	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	auf	auf	P	APPR	Dat	19	pp	_	_
15	dem	die	A	ART	Def|Masc|Dat|Sg	16	det	_	_
16	Nordpol	Nordpol	N	NN	Masc|Dat|Sg	14	pn	_	_
17	der	die	A	ART	Def|Fem|Gen|Sg	18	det	496	496
18	Erde	Erde	N	NN	Fem|Gen|Sg	16	gmod	496	496
19	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	497	497
21	noch	noch	A	ADV	_	22	adv	_	_
22	nicht	nicht	P	PTKNEG	_	23	adv	_	_
23	gewesen	sein	V	VAPP	_	19	aux	_	_
24	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	497	497
3	habe	haben	V	VAFIN	1|Sg|Pres|_	1	cj	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Nordpol	Nordpol	N	NN	Masc|Acc|Sg	9	obja	_	_
6	auf	auf	P	APPR	Dat	9	pp	_	_
7	dem	die	A	ART	Def|Masc|Dat|Sg	8	det	183	183
8	Kopfe	Kopf	N	NN	Masc|Dat|Sg	6	pn	183	183
9	gehabt	haben	V	VAPP	_	3	aux	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	3	adv	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	möglich	möglich	A	ADJD	Pos|	3	pred	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	fragten	fragen	V	VVFIN	3|Pl|Past|_	0	root	_	_
9	alle	alle	A	PIDAT	Masc|Nom|Pl	10	det	_	_
10	Eskimos	Eskimo	N	NN	Masc|Nom|Pl	8	subj	_	_
11	und	und	K	KON	_	10	kon	_	_
12	auch	auch	A	ADV	_	14	adv	527	527
13	die	die	A	ART	Def|Fem|Nom|Pl	14	det	527	527
14	Eskimofrauen	Eskimofrau	N	NN	Fem|Nom|Pl	11	cj	527	527
15	,	,	$	$,	_	0	root	_	_
16	während	während	K	KOUS	_	21	konj	_	_
17	sich	sie	P	PRF	3|_|_	21	obja	_	_
18	Alle	alle	A	PIDAT	Fem|Nom|Pl	20	det	_	_
19	neue	neu	A	ADJA	Pos|Fem|Nom|Pl|St|	20	attr	_	_
20	Pfeifen	Pfeife	N	NN	Fem|Nom|Pl	21	subj	_	_
21	stopften	stopfen	V	VVFIN	3|Pl|Past|_	8	neb	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	doch	doch	A	ADV	_	3	adv	_	_
5	möglich	möglich	A	ADJD	Pos|	3	pred	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	3	s	_	_
9	nun	nun	A	ADV	_	8	adv	_	_
10	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	8	subj	1	1
11	fort	fort	P	PTKVZ	_	8	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	»	»	$	$(	_	0	root	_	_
14	allerdings	allerdings	A	ADV	_	0	root	_	_
15	-	-	$	$(	_	0	root	_	_
16	so	so	A	ADV	_	18	adv	_	_
17	ganz	ganz	A	ADV	_	18	adv	_	_
18	einfach	einfach	A	ADJD	Pos|	19	adv	_	_
19	gings	gings	A	ADJD	_	20	adv	_	_
20	nicht	nicht	P	PTKNEG	_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
3	schon	schon	A	ADV	_	2	adv	_	_
4	zwanzig	zwanzig	C	CARD	_	5	attr	_	_
5	Jahre	Jahr	N	NN	Neut|Nom|Pl	2	pred	_	_
6	her.1888	her.1888	F	FM	Neut|Nom|Pl	5	app	_	_
7	wars	wars	F	FM	Neut|Nom|Pl	6	app	_	_
8	.	.	$	$.	_	0	root	_	_

1	Mir	ich	P	PPER	1|Sg|_|Dat	2	objd	498	498
2	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	216	216
4	Leben	Leben	N	NN	Neut|Nom|Sg	2	subj	216	216
5	auf	auf	P	APPR	Dat	2	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	496	496
7	Erde	Erde	N	NN	Fem|Dat|Sg	5	pn	496	496
8	herzlich	herzlich	A	ADJD	Pos|	9	adv	_	_
9	langweilig	langweilig	A	ADJD	Pos|	2	pred	_	_
10	vor	vor	P	PTKVZ	_	2	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	2	kon	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	498	498
14	hätte	haben	V	VAFIN	1|Sg|Past|Subj	12	cj	_	_
15	viel	viel	A	ADV	_	17	adv	_	_
16	dafür	dafür	P	PROAV	_	17	pp	_	_
17	gegeben	geben	V	VVPP	_	14	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	24	konj	_	_
20	es	es	P	PPER	3|Sg|Neut|_	31	expl	_	_
21	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	498	498
22	möglich	möglich	A	ADJD	Pos|	23	pred	_	_
23	gewesen	sein	V	VAPP	_	24	aux	_	_
24	wäre	sein	V	VAFIN	_|Sg|Past|Subj	14	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	auf	auf	P	APPR	Dat	31	pp	_	_
27	einem	eine	A	ART	Indef|Masc|Dat|Sg	29	det	_	_
28	andern	andern	A	ADJA	_|Masc|Dat|Sg|_	29	attr	_	_
