14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	4	kon	_	_
15	.	.	$	$.	_	0	root	_	_

1	Müller	Müller	N	NE	_	0	root	3	3
2	:	\:	$	$.	_	0	root	_	_
3	Lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	723	723
5	ihn	er	P	PPER	3|Sg|Masc|Acc	3	obja	1	1
6	,	,	$	$,	_	0	root	_	_
7	mit	mit	P	APPR	Dat	11	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	768	768
9	Herrn	Herrn	N	NN	Masc|Dat|Sg	7	pn	768	768
10	Schlosser	Schlosser	N	NN	Masc|Dat|Sg	9	app	768	768
11	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	viel	viel	A	ADV	_	14	adv	_	_
14	schlimmer	schlimm	A	ADJD	Comp|	11	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Schlosser	Schlosser	N	NN	Masc|_|_	0	root	10	10
2	:	\:	$	$.	_	0	root	_	_
3	Ach	ach	I	ITJ	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	nun	nun	A	ADV	_	2	adv	_	_
2	würde	werden	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
3	die	die	A	ART	Def|Fem|Nom|Sg	5	det	724	724
4	geheime	geheim	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	724	724
5	Gesellschaft	Gesellschaft	N	NN	Fem|Nom|Sg	2	subj	724	724
6	kommen	kommen	V	VVINF	_	2	aux	724	724
7	,	,	$	$,	_	0	root	724	724
8	die	die	P	PRELS	Fem|Nom|Sg	15	subj	724	724
9	für	für	P	APPR	Acc	15	pp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	11	det	_	_
11	Wohl	Wohl	N	NN	Neut|Acc|Sg	9	pn	_	_
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	725	725
13	Menschheit	Menschheit	N	NN	Fem|Gen|Sg	11	gmod	725	725
14	tätig	tätig	A	ADJD	Pos|	15	pred	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	rel	_	_
16	;	;	$	$.	_	0	root	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	18	det	701	701
18	Freiheit	Freiheit	N	NN	Fem|Nom|Sg	19	subj	701	701
19	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	nun	nun	A	ADV	_	21	adv	_	_
21	proklamiert	proklamieren	V	VVPP	_	19	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	19	kon	_	_
24	ich	ich	P	PPER	1|Sg|_|Nom	25	subj	32	32
25	bin	sein	V	VAFIN	1|Sg|Pres|Ind	23	cj	_	_
26	hier	hier	A	ADV	_	27	adv	_	_
27	gebunden	binden	V	VVPP	_	25	aux	_	_
28	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	_	_
2	Getümmel	Getümmel	N	NN	Neut|Nom|Sg	3	subj	_	_
3	vermehrt	vermehren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	_	_
9	Geschrei	Geschrei	N	NN	Neut|_|Sg	0	root	_	_
10	im	in	P	APPRART	Dat	9	pp	_	_
11	Parterre	Parterre	N	NN	Neut|Dat|Sg	10	pn	78	78
12	und	und	K	KON	_	10	kon	_	_
13	auf	auf	P	APPR	Dat	12	cj	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	454	454
