10	,	,	$	$,	_	0	root	_	_
11	bemerkte	bemerken	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	186	186
13	Katze	Katze	N	NN	Fem|Nom|Sg	11	subj	186	186
14	,	,	$	$,	_	0	root	_	_
15	»	»	$	$(	_	0	root	_	_
16	daß	daß	K	KOUS	_	24	konj	_	_
17	sie	sie	P	PPER	3|Pl|_|Nom	24	subj	229	229
18	dir	du	P	PPER	2|Sg|_|Dat	24	objd	227	227
19	nicht	nicht	P	PTKNEG	_	24	adv	_	_
20	etwa	etwa	A	ADV	_	24	adv	_	_
21	auf	auf	P	APPR	Acc	24	pp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	16	16
23	Kopf	Kopf	N	NN	Masc|Acc|Sg	21	pn	16	16
24	fallen	fallen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	denn	denn	K	KON	_	24	kon	_	_
27	das	die	P	PDS	Neut|Nom|Sg	28	subj	_	_
28	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	26	cj	_	_
29	Löcher	Loch	N	NN	_|_|_	28	obja	284	284
30	.	.	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	4	subj	227	227
4	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	2	cj	_	_
5	natürlich	natürlich	A	ADJD	Pos|	8	adv	_	_
6	für	für	P	APPR	Acc	8	objp	_	_
7	Säcke	Sack	N	NN	Masc|Acc|Pl	6	pn	230	230
8	sorgen	sorgen	V	VVINF	_	4	aux	230	230
9	,	,	$	$,	_	0	root	230	230
10	in	in	P	APPR	Acc	15	objp	230	230
11	die	die	P	PRELS	Masc|Acc|Pl	10	pn	230	230
12	du	du	P	PPER	2|Sg|_|Nom	15	subj	227	227
13	die	die	A	ART	Def|Fem|_|Pl	14	det	_	_
14	Zwanzigmarkstücknüsse	Zwanzigmarkstücknuss	N	NN	Fem|_|Pl	15	obja	_	_
15	steckst	stecken	V	VVFIN	2|Sg|Pres|Ind	7	rel	_	_
16	«	«	$	$(	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	fügte	fügen	V	VVFIN	3|Sg|Past|_	0	root	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	185	185
20	Fuchs	Fuchs	N	NE	Masc|Nom|Sg	18	subj	185	185
21	hinzu	hinzu	P	PTKVZ	_	18	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	für	für	P	APPR	Acc	2	cj	_	_
4	Wagen	Wage	N	NN	_|Acc|_	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	die	die	A	ART	Def|Masc|_|Pl	7	det	230	230
7	Säcke	Sack	N	NN	Masc|_|Pl	8	obja	230	230
8	draufzuladen	draufladen	V	VVIZU	_	4	obji	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	186	186
13	Katze	Katze	N	NN	Fem|Nom|Sg	11	subj	186	186
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	für	für	P	APPR	Acc	2	cj	_	_
4	Ochsen	Ochse	N	NN	_|Acc|_	3	pn	_	_
5	,	,	$	$,	_	0	root	_	_
6	die	die	A	ART	Def|_|_|Pl	7	det	_	_
7	Wagen	Wage	N	NN	_|_|Pl	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	ziehen	ziehen	V	VVINF	_	4	obji	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	185	185
14	Fuchs	Fuchs	N	NE	Masc|Nom|Sg	12	subj	185	185
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Denn	denn	K	KON	_	0	root	_	_
3	hunderttausend	hunderttausend	C	CARD	_	4	attr	_	_
4	Mark	Mark	N	NN	_|Nom|Pl	5	subj	_	_
5	sind	sein	V	VAFIN	3|Pl|Pres|Ind	2	cj	_	_
6	ein	eine	A	ART	Indef|Neut|Nom|Sg	8	det	_	_
7	schweres	schwer	A	ADJA	Pos|Neut|Nom|Sg|St|	8	attr	_	_
8	Stück	Stück	N	NN	Neut|Nom|Sg	5	pred	_	_
9	Geld	Geld	N	NN	Neut|Nom|Sg	8	app	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	sagten	sagen	V	VVFIN	3|Pl|Past|_	0	root	_	_
13	beide	beide	P	PIS	_|Nom|Pl	12	subj	_	_
14	zugleich	zugleich	A	ADV	_	12	adv	_	_
15	.	.	$	$.	_	0	root	_	_

1	Unserm	unsre	A	PPOSAT	_|Dat|Sg	2	det	231	231
2	Kasperle	Kasperle	N	NN	_|Dat|Sg	3	objd	231	231
3	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
4	schwindlig	schwindlig	A	ADJD	Pos|	3	pred	_	_
5	in	in	P	APPR	Dat	3	pp	_	_
6	seinem	seine	A	PPOSAT	Masc|Dat|Sg	7	det	231	231
7	Kopf	Kopf	N	NN	Masc|Dat|Sg	5	pn	_	_
8	aus	aus	P	APPR	Dat	3	pp	_	_
9	Tannenholz	Tannenholz	N	NN	Neut|Dat|Sg	8	pn	858	858
10	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	4	4
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	Wagen	Wage	N	NN	_|_|_	9	obja	_	_
4	auf	auf	P	APPR	_	9	pp	_	_
5	Wagen	Wage	N	NN	_|_|_	4	pn	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	Gold	Gold	N	NN	Neut|Dat|Sg	6	pn	_	_
8	hintereinander	hintereinander	A	ADV	_	7	adv	_	_
9	herfahren	herfahren	V	VVINF	_	2	obji	_	_
10	,	,	$	$,	_	0	root	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	_	_
12	unabsehbaren	unabsehbar	A	ADJA	Pos|Masc|Acc|Sg|_|	13	attr	_	_
13	Zug	Zug	N	NN	Masc|Acc|Sg	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	die	die	A	ART	Def|Masc|Nom|Pl	17	det	509	509
17	Ochsen	Ochse	N	NN	Masc|Nom|Pl	18	subj	509	509
18	keuchten	keuchen	V	VVFIN	3|Pl|Past|_	15	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	18	kon	_	_
21	die	die	A	ART	Def|Masc|Nom|Pl	22	det	_	_
22	Kutscher	Kutscher	N	NN	Masc|Nom|Pl	23	subj	_	_
23	knallten	knallen	V	VVFIN	3|Pl|Past|_	20	cj	_	_
24	mit	mit	P	APPR	Dat	23	pp	_	_
25	den	die	A	ART	Def|Fem|Dat|Pl	26	det	_	_
26	Peitschen	Peitsche	N	NN	Fem|Dat|Pl	24	pn	_	_
27	,	,	$	$,	_	0	root	_	_
28	und	und	K	KON	_	23	kon	_	_
29	auf	auf	P	APPR	Dat	33	pp	_	_
30	dem	die	A	ART	Def|Masc|Dat|Sg	32	det	_	_
31	dicksten	dick	A	ADJA	Sup|Masc|Dat|Sg|Wk|	32	attr	_	_
32	Geldsack	Geldsack	N	NN	Masc|Dat|Sg	29	pn	_	_
33	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	28	cj	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	33	subj	4	4
35	selber	selber	A	ADV	_	34	adv	_	_
36	und	und	K	KON	_	33	kon	_	_
37	schrie	schreien	V	VVFIN	_|Sg|Past|_	36	cj	_	_
38	:	\:	$	$.	_	0	root	_	_
39	»	»	$	$(	_	0	root	_	_
40	Hü	Hü	F	FM	_	0	root	_	_
41	!	!	$	$.	_	0	root	_	_

1	hü	hü	A	ADJD	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	hü	hü	A	ADJD	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	0	root	_	_
2	Hause	Haus	N	NN	Neut|Dat|Sg	1	pn	143	143
3	!	!	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	0	root	_	_
2	Hause	Haus	N	NN	Neut|Dat|Sg	1	pn	143	143
3	!	!	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	0	root	_	_
2	hunderttausend	hunderttausend	C	CARD	_	3	attr	_	_
3	Mark	Mark	N	NN	_|Dat|Pl	1	pn	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	4	4
3	rief	rufen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	Führt	führen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	6	obja	4	4
8	ins	in	P	APPRART	Acc	6	objp	_	_
