24	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	0	0
26	,	,	$	$,	_	0	root	_	_
27	auf	auf	P	APPR	Dat	24	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	735	735
29	Akropolis	Akropolis	N	NN	Fem|Dat|Sg	27	pn	735	735
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	27	kon	_	_
32	gottlob	gottlob	A	ADV	_	31	cj	_	_
33	ohne	ohne	P	APPR	Acc	24	pp	_	_
34	den	die	A	ART	Def|Masc|Acc|Sg	35	det	794	794
35	Pintscher	Pintscher	N	NN	Masc|Acc|Sg	33	pn	794	794
36	,	,	$	$,	_	0	root	794	794
37	der	die	P	PRELS	Masc|Nom|Sg	40	subj	794	794
38	mir	ich	P	PPER	1|Sg|_|Dat	39	objd	0	0
39	folgen	folgen	V	VVINF	_	40	aux	_	_
40	wollte	wollen	V	VMFIN	3|Sg|Past|_	35	rel	_	_
41	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	0	0
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|_|Sg	6	det	_	_
4	sehr	sehr	A	ADV	_	5	adv	_	_
5	angenehme	angenehm	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	_	_
6	Stelle	Stelle	N	NN	Fem|_|Sg	2	obja	_	_
7	als	als	K	KOKOM	_	2	kom	_	_
8	Sekretär	Sekretär	N	NN	Masc|_|Sg	7	cj	_	_
9	eines	eine	A	ART	Indef|_|Gen|Sg	11	det	_	_
10	deutschen	deutsch	A	ADJA	Pos|_|Gen|Sg|_|	11	attr	_	_
11	Privatgelehrten	Privatgelehrte	N	NN	_|Gen|Sg	8	gmod	_	_
12	.	.	$	$.	_	0	root	_	_

