2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	_	_
3	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	626	626
5	bei	bei	P	APPR	Dat	3	pp	_	_
6	den	die	A	ART	Def|Masc|Dat|Pl	7	det	628	628
7	Zöpfen	Zopf	N	NN	Masc|Dat|Pl	5	pn	628	628
8	,	,	$	$,	_	0	root	_	_
9	riß	riß	V	VVFIN	_	3	kon	_	_
10	sie	sie	P	PPER	3|_|_|_	9	obja	626	626
11	nieder	nieder	P	PTKVZ	_	9	avz	_	_
12	und	und	K	KON	_	9	kon	_	_
13	schlug	schlagen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	unter	unter	P	APPR	Dat	13	pp	_	_
15	fortwährendem	fortwährend	A	ADJA	Pos|Neut|Dat|Sg|St|_	16	attr	_	_
16	Gebrüll	Gebrüll	N	NN	Neut|Dat|Sg	14	pn	_	_
17	:	\:	$	$.	_	0	root	_	_
18	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
19	!	!	$	$.	_	0	root	_	_

1	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
2	!	!	$	$.	_	0	root	_	_

1	auf	auf	P	APPR	Acc	0	root	_	_
2	sie	sie	P	PPER	3|_|_|Acc	1	pn	626	626
3	los	los	P	PTKVZ	_	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	kaum	kaum	A	ADV	_	3	adv	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	2	2
5	mit	mit	P	APPR	Dat	8	pp	_	_
6	diesem	diese	A	PDAT	Neut|Dat|Sg	7	det	629	629
7	Geschäfte	Geschäft	N	NN	Neut|Dat|Sg	5	pn	629	629
8	begonnen	beginnen	V	VVPP	_	3	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	da	da	A	ADV	_	11	adv	_	_
11	warfen	werfen	V	VVFIN	3|Pl|Past|Ind	3	kon	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	seine	seine	A	PPOSAT	Fem|Nom|Pl	15	det	2	2
14	sämtlichen	sämtlich	A	ADJA	Pos|Fem|Nom|Pl|Wk|	15	attr	630	630
15	Damen	Dame	N	NN	Fem|Nom|Pl	11	subj	630	630
16	bäuchlings	bäuchlings	A	ADV	_	11	adv	_	_
17	nieder	nieder	P	PTKVZ	_	11	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	mitten	mitten	A	ADV	_	20	adv	_	_
20	in	in	P	APPR	Acc	11	pp	_	_
21	die	die	A	ART	Def|Neut|Acc|Pl	23	det	_	_
22	zerstampften	zerstampft	A	ADJA	Pos|Neut|Acc|Pl|Wk|	23	attr	_	_
23	Beete	Beet	N	NN	Neut|Acc|Pl	20	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	tunkten	tunken	V	VVFIN	_|Pl|Past|_	11	kon	_	_
26	ihre	ihre	A	PPOSAT	Masc|_|Pl	29	det	630	630
27	schön	schön	A	ADJD	Pos|	28	adv	_	_
28	frisierten	frisiert	A	ADJA	Pos|Masc|_|Pl|Wk|	29	attr	_	_
29	Köpfe	Kopf	N	NN	Masc|_|Pl	25	obja	_	_
30	in	in	P	APPR	Acc	25	pp	_	_
31	das	die	A	ART	Def|Neut|Acc|Sg	32	det	_	_
32	Erdreich	Erdreich	N	NN	Neut|Acc|Sg	30	pn	_	_
33	und	und	K	KON	_	25	kon	_	_
34	schrien	schreien	V	VVFIN	_|Pl|Past|_	33	cj	_	_
35	laut	laut	A	ADJD	Pos|	34	adv	_	_
36	auf	auf	P	PTKVZ	_	34	avz	_	_
37	:	\:	$	$.	_	0	root	_	_
38	Prinz	Prinz	N	NN	Masc|_|Sg	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	oh	oh	I	ITJ	_	0	root	_	_
41	Prinz	Prinz	N	NN	Masc|_|Sg	38	app	_	_
42	!	!	$	$.	_	0	root	_	_

1	Sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
