1	-	-	$	$(	_	0	root	_	_
2	Verzeih	verzeihen	V	VVIMP	Sg	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	42	42
4	...	...	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	...	...	$	$.	_	0	root	_	_
3	oh	oh	I	ITJ	_	0	root	_	_
4	Herr	Herr	N	NE	Fem|_|Pl	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	meine	meine	A	PPOSAT	Fem|_|Pl	7	det	42	42
7	Sünden	Sünde	N	NN	Fem|_|Pl	4	app	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Draper	Draper	N	NN	_|Nom|Sg	2	subj	66	66
2	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	hinter	hinter	P	APPR	_	2	pp	_	_
4	Hennigs	Hennigs	N	NE	_|Gen|_	5	gmod	42	42
5	Stuhl	Stuhl	N	NN	Masc|_|Sg	3	pn	_	_
6	und	und	K	KON	_	2	kon	_	_
7	las	lesen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	was	was	P	PWS	Neut|_|Sg	11	obja	_	_
10	dieser	diese	P	PDS	Masc|Nom|Sg	11	subj	_	_
11	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	7	objc	_	_
12	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Dat	4	objp	_	_
2	dem	die	A	ART	Def|Neut|Dat|Sg	3	det	369	369
3	Papier	Papier	N	NN	Neut|Dat|Sg	1	pn	369	369
4	stand	stehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
5	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|_|_|_	3	det	406	406
3	Träger	Träger	N	NN	_|_|_	0	root	406	406
4	dieses	diese	P	PDS	_|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Scipio	Scipio	N	NN	_	0	root	_	_
7	...	...	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Also	also	A	ADV	_	3	adv	_	_
3	weiter	weiter	A	ADV	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	370	370
6	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
8	.	.	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Hennigs	Hennigs	N	NE	_|Nom|Sg	2	subj	42	42
2	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	weiter	weiter	A	ADV	_	2	adv	_	_
4	:	\:	$	$.	_	0	root	_	_
5	»	»	$	$(	_	0	root	_	_
6	...	...	$	$.	_	0	root	_	_
7	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	meinem	meine	A	PPOSAT	Neut|Dat|Sg	10	det	370	370
10	Wissen	Wissen	N	NN	Neut|Dat|Sg	8	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	Willen	Wille	N	NN	Masc|Dat|_	11	cj	407	407
13	zu	zu	P	APPR	Dat	7	objp	_	_
14	seinen	seine	A	PPOSAT	_|Dat|Pl	15	det	42	42
15	Eltern	Elter	N	NN	_|Dat|Pl	13	pn	371	371
16	...	...	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	371	371
4	:	\:	$	$.	_	0	root	_	_
5	Sühnigung	Sühnigung	N	NE	_|Nom|Pl	6	subj	373	373
6	finden	finden	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	357	357
11	Friedensrichter	Friedensrichter	N	NN	Masc|Nom|Sg	9	subj	357	357
12	,	,	$	$,	_	0	root	_	_
13	schob	schieben	V	VVFIN	3|Sg|Past|Ind	9	s	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	die	die	A	ART	Def|Fem|Nom|Sg	16	det	372	372
16	Brille	Brille	N	NN	Fem|Nom|Sg	13	subj	372	372
17	herunter	herunter	A	ADV	_	13	adv	_	_
18	und	und	K	KON	_	13	kon	_	_
19	blickte	blicken	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	nach	nach	P	APPR	Dat	19	pp	_	_
21	dem	die	A	ART	Def|Masc|Dat|Sg	23	det	47	47
22	jungen	jung	A	ADJA	Pos|Masc|Dat|Sg|Wk|	23	attr	47	47
23	Mann	Mann	N	NN	Masc|Dat|Sg	20	pn	47	47
24	hinüber	hinüber	P	PTKVZ	_	19	avz	_	_
25	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gleich	gleich	A	ADJD	Pos|	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	gleich	gleich	A	ADJD	Pos|	7	pred	_	_
5	-	-	$	$(	_	0	root	_	_
6	Sühnigung	Sühnigung	N	NN	_	7	obja	373	373
7	finden	finden	V	VVINF	_	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	so	so	A	ADV	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	nur	nur	A	ADV	_	12	adv	_	_
12	weiter	weiter	A	ADV	_	9	kon	_	_
13	.	.	$	$.	_	0	root	_	_
