44	und	und	K	KON	_	0	root	_	_
45	der	die	P	PRELS	Masc|Nom|Sg	52	subj	789	789
46	fest	fest	A	ADJD	Pos|	52	adv	_	_
47	auf	auf	P	APPR	_	50	pp	_	_
48	seinen	seine	A	PPOSAT	Fem|_|Pl	49	det	789	789
49	Achsen	Achse	N	NN	Fem|_|Pl	47	pn	796	796
50	ruhende	ruhend	A	ADJA	Pos|_|_|_|_|<PPRES	51	attr	_	_
51	Karren	Karre	N	NN	_|_|_	52	obja	_	_
52	rasselte	rasseln	V	VVFIN	3|Sg|Past|_	44	cj	_	_
53	rücksichtslos	rücksichtslos	A	ADJD	Pos|	52	adv	_	_
54	und	und	K	KON	_	53	kon	_	_
55	wild	wild	A	ADJD	Pos|	54	cj	_	_
56	über	über	P	APPR	Acc	52	pp	_	_
57	die	die	A	ART	Def|_|Acc|_	61	det	_	_
58	rauhe	rauh	A	ADJA	Pos|_|Acc|_|_|	61	attr	_	_
59	,	,	$	$,	_	0	root	_	_
60	holprige	holprig	A	ADJA	Pos|_|Acc|_|_|	58	kon	_	_
61	Straße	Straß	N	NN	_|Acc|_	56	pn	_	_
62	hin	hin	P	PTKVZ	_	52	avz	_	_
63	,	,	$	$,	_	0	root	_	_
64	seine	seine	A	PPOSAT	Fem|_|Sg	65	det	789	789
65	Bahn	Bahn	N	NN	Fem|_|Sg	0	root	_	_
66	entlang	entlang	P	PTKVZ	_	0	root	_	_
67	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Acc	14	objp	_	_
2	eine	eine	A	ART	Indef|Fem|Acc|Sg	3	det	_	_
3	Unterhaltung	Unterhaltung	N	NN	Fem|Acc|Sg	1	pn	_	_
4	zwischen	zwischen	P	APPR	Dat	3	pp	_	_
5	den	die	A	ART	Def|Masc|Dat|Pl	6	det	682	682
6	Passagieren	Passagier	N	NN	Masc|Dat|Pl	4	pn	682	682
7	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
8	unter	unter	P	APPR	Dat	14	pp	_	_
9	solchen	solche	A	PIDAT	Masc|Dat|Pl	10	det	_	_
10	Umständen	Umstand	N	NN	Masc|Dat|Pl	8	pn	_	_
11	gar	gar	A	ADV	_	12	adv	_	_
12	nicht	nicht	P	PTKNEG	_	14	adv	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	denken	denken	V	VVINF	_	7	aux	_	_
15	.	.	$	$.	_	0	root	_	_

1	Jeder	jede	P	PIS	Masc|Nom|Sg	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	vollauf	vollauf	A	ADV	_	5	adv	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	tun	tun	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	sich	sie	P	PRF	3|_|_	0	root	_	_
8	auf	auf	P	APPR	Dat	0	root	_	_
9	seinem	seine	A	PPOSAT	Masc|Dat|Sg	10	det	5	5
10	Sitz	Sitz	N	NN	Masc|Dat|Sg	8	pn	_	_
11	und	und	K	KON	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	19	adv	_	_
14	ein	eine	A	ART	Indef|Neut|Nom|Sg	16	det	_	_
15	australisches	australisch	A	ADJA	Pos|Neut|Nom|Sg|St|	16	attr	_	_
16	Sprichwort	Sprichwort	N	NN	Neut|Nom|Sg	19	subj	_	_
17	ganz	ganz	A	ADV	_	18	adv	_	_
18	passend	passend	A	ADJD	_|_	19	adv	_	_
19	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	die	die	A	ART	Def|Fem|_|Sg	22	det	790	790
22	Zunge	Zunge	N	NN	Fem|_|Sg	25	obja	790	790
23	im	in	P	APPRART	Dat	25	pp	_	_
24	Munde	Mund	N	NN	Masc|Dat|Sg	23	pn	_	_
25	festzuhalten	festhalten	V	VVIZU	_	19	obji	_	_
26	,	,	$	$,	_	0	root	_	_
27	bis	bis	K	KOUS	_	34	konj	_	_
28	der	die	A	ART	Def|Masc|Nom|Sg	29	det	176	176
29	Weg	Weg	N	NN	Masc|Nom|Sg	34	subj	176	176
30	wieder	wieder	A	ADV	_	34	adv	_	_
31	ebner	ebner	A	ADJD	_	34	pred	_	_
32	und	und	K	KON	_	31	kon	_	_
33	weicher	weich	A	ADJD	Comp|	32	cj	_	_
34	wurde	werden	V	VAFIN	3|Sg|Past|Ind	25	neb	_	_
35	und	und	K	KON	_	0	root	_	_
36	der	die	A	ART	Def|_|_|_	37	det	791	791
37	Karren	Karre	N	NN	_|_|_	35	cj	791	791
38	,	,	$	$,	_	0	root	_	_
39	von	von	P	APPR	Dat	45	pp	_	_
40	den	die	A	ART	Def|Masc|Dat|Pl	41	det	_	_
41	Flüchen	Fluch	N	NN	Masc|Dat|Pl	39	pn	_	_
42	der	die	A	ART	Def|Masc|Gen|Pl	44	det	_	_
43	mißhandelten	mißhandelt	A	ADJA	Pos|Masc|Gen|Pl|Wk|	44	attr	_	_
44	Passagiere	Passagier	N	NN	Masc|Gen|Pl	41	gmod	_	_
45	begleitet	begleiten	V	VVFIN	_|_|Pres|_	0	root	_	_
46	,	,	$	$,	_	0	root	_	_
47	wenigstens	wenigstens	A	ADV	_	53	adv	_	_
48	verhältnismäßig	verhältnismäßig	A	ADJD	Pos|	53	adv	_	_
49	ruhig	ruhig	A	ADJD	Pos|	53	adv	_	_
50	auf	auf	P	APPR	Dat	53	pp	_	_
51	seiner	seine	A	PPOSAT	Fem|Dat|Sg	52	det	176	176
52	Bahn	Bahn	N	NN	Fem|Dat|Sg	50	pn	_	_
53	dahinfuhr	dahinfuhr	V	VVINF	_	0	root	_	_
54	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	176	176
2	Weg	Weg	N	NN	Masc|Nom|Sg	3	subj	176	176
3	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	hier	hier	A	ADV	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	wo	wo	P	PWAV	_	12	adv	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	176	176
9	schon	schon	A	ADV	_	12	adv	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
11	Murraytal	Murraytal	N	NN	Neut|_|Sg	12	obja	_	_
12	berührte	berühren	V	VVFIN	3|Sg|Past|_	5	rel	_	_
13	,	,	$	$,	_	0	root	_	_
14	durch	durch	P	APPR	Acc	3	objp	_	_
15	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
16	Wald	Wald	N	NN	Masc|Acc|Sg	14	pn	_	_
17	der	die	A	ART	Def|_|Gen|_	19	det	_	_
18	mächtigsten	mächtig	A	ADJA	Sup|_|Gen|_|Wk|	19	attr	_	_
19	Gumbäume	Gumbäume	N	NN	_|Gen|_	16	gmod	_	_
20	hin	hin	P	PTKVZ	_	3	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	und	und	K	KON	_	3	kon	_	_
23	die	die	A	ART	Def|Fem|Nom|Sg	24	det	_	_
