6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	9	9
7	Bursche	Bursche	N	NN	Masc|Nom|Sg	5	subj	9	9
8	,	,	$	$,	_	0	root	_	_
9	ohne	ohne	K	KOUI	_	16	konj	_	_
10	sich	sie	P	PRF	3|_|_	14	obja	_	_
11	besonders	besonders	A	ADV	_	12	adv	_	_
12	außer	außer	P	APPR	Dat	14	pp	_	_
13	Fassung	Fassung	N	NN	Fem|Dat|Sg	12	pn	_	_
14	bringen	bringen	V	VVINF	_	16	obji	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	lassen	lassen	V	VVINF	_	5	neb	_	_
17	,	,	$	$,	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	Eure	eure	A	PPOSAT	_|Nom|Sg	21	det	347	347
20	ganze	ganz	A	ADJA	Pos|_|Nom|Sg|_|	21	attr	828	828
21	Gesellschaft	Gesellschaft	N	NN	_|Nom|Sg	24	subj	828	828
22	da	da	A	ADV	_	21	adv	828	828
23	oben	oben	A	ADV	_	21	adv	828	828
24	hält	halten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
25	wohl	wohl	A	ADV	_	24	adv	_	_
26	die	die	A	ART	Def|Masc|_|Pl	27	det	827	827
27	Zügel	Zügel	N	NN	Masc|_|Pl	24	obja	827	827
28	mit	mit	P	APPR	Dat	0	root	_	_
29	oder	oder	K	KON	_	0	root	_	_
30	hat	haben	V	VAFIN	3|Sg|Pres|Ind	29	cj	_	_
31	sich	sie	P	PRF	3|_|Dat	32	objd	_	_
32	festgebunden	festbinden	V	VVPP	_	30	aux	_	_
33	,	,	$	$,	_	0	root	_	_
34	daß	daß	K	KOUS	_	38	konj	_	_
35	sie	sie	P	PPER	3|Sg|Fem|Nom	38	subj	828	828
36	nicht	nicht	P	PTKNEG	_	37	adv	_	_
37	abgeschüttelt	abschütteln	V	VVPP	_	38	aux	_	_
38	wird	werden	V	VAFIN	3|Sg|Pres|Ind	32	objc	_	_
39	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	meinetwegen	meinetwegen	P	PROAV	_	0	root	_	_
4	;	;	$	$.	_	0	root	_	_
5	das	die	A	ART	Def|Neut|_|Sg	6	det	916	916
6	nächstemal	nächstemal	N	NN	Neut|_|Sg	0	root	916	916
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	10	konj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	704	704
10	fahre	fahren	V	VVFIN	1|Sg|Pres|_	12	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
13	Ihr	ihr	P	PPER	2|Pl|_|Nom	12	subj	826	826
14	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	704	704
15	vielleicht	vielleicht	A	ADV	_	21	adv	_	_
16	das	die	A	ART	Def|Neut|_|Sg	17	det	829	829
17	Holz	Holz	N	NN	Neut|_|Sg	21	obja	829	829
18	aus	aus	P	APPR	Dat	21	objp	_	_
19	dem	die	A	ART	Def|Masc|Dat|Sg	20	det	176	176
20	Wege	Weg	N	NN	Masc|Dat|Sg	18	pn	176	176
21	räumen	räumen	V	VVINF	_	12	aux	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_
24	Und	und	K	KON	_	0	root	_	_
25	sein	seine	A	PPOSAT	Neut|_|Sg	26	det	176	176
26	Frühstück	Frühstück	N	NN	Neut|_|Sg	24	cj	_	_
27	neben	neben	P	APPR	_	26	pp	_	_
28	sich	sie	P	PRF	3|_|_	27	pn	_	_
29	niederlegend	niederlegen	A	ADJD	_|<PPRES	0	root	_	_
30	,	,	$	$,	_	0	root	_	_
31	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
32	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	5	5
33	langsam	langsam	A	ADJD	Pos|	31	adv	_	_
34	auf	auf	P	PTKVZ	_	31	avz	_	_
35	und	und	K	KON	_	31	kon	_	_
36	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	35	cj	_	_
37	zu	zu	P	APPR	Dat	36	pp	_	_
38	dem	die	A	ART	Def|Masc|Dat|Sg	40	det	830	830
39	nächsten	nah	A	ADJA	_|Masc|Dat|Sg|Wk|	40	attr	830	830
40	Ast	Ast	N	NN	Masc|Dat|Sg	37	pn	830	830
41	hinüber	hinüber	P	PTKVZ	_	36	avz	830	830
42	,	,	$	$,	_	0	root	830	830
43	dicht	dicht	A	ADJD	Pos|	44	adv	830	830
44	vor	vor	P	APPR	Dat	49	pp	830	830
45	dem	die	P	PRELS	Masc|Dat|Sg	44	pn	830	830
46	die	die	A	ART	Def|Neut|Nom|Pl	48	det	831	831
47	schäumenden	schäumend	A	ADJA	Pos|Neut|Nom|Pl|Wk|<PPRES	48	attr	831	831
48	Pferde	Pferd	N	NN	Neut|Nom|Pl	49	subj	831	831
49	hielten	halten	V	VVFIN	3|Pl|Past|_	40	rel	_	_
50	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Donnerwetter	Donnerwetter	N	NN	_|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Mate	Mate	N	NN	_|_|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	829	829
7	Holz	Holz	N	NN	Neut|Nom|Sg	8	subj	829	829
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	schwer	schwer	A	ADJD	Pos|	8	pred	_	_
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	subj	5	5
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOUS	_	23	konj	_	_
