5	sonderbar	sonderbar	A	ADJD	Pos|	6	adv	_	_
6	aufgeregt	aufregen	V	VVPP	_	2	aux	_	_
7	dabei	dabei	P	PROAV	_	6	pp	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	0	root	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	0	root	1326	1326
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	358	358
12	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	15	subj	358	358
13	noch	noch	A	ADV	_	15	adv	_	_
14	nie	nie	A	ADV	_	15	adv	_	_
15	gesehen	sehen	V	VVPP	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	und	und	K	KON	_	0	root	_	_
18	Sally	Sally	N	NE	_|Nom|Sg	19	subj	989	989
19	blickte	blicken	V	VVFIN	3|Sg|Past|_	17	cj	_	_
20	staunend	staunen	A	ADJD	_|<PPRES	19	adv	_	_
21	zu	zu	P	APPR	Dat	19	pp	_	_
22	ihm	er	P	PPER	3|Sg|_|Dat	21	pn	1326	1326
23	auf	auf	P	PTKVZ	_	19	avz	_	_
24	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	3	konj	_	_
2	endlich	endlich	A	ADJD	Pos|	3	adv	_	_
3	streckte	strecken	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	74	74
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	361	361
6	Arm	Arm	N	NN	Masc|Acc|Sg	3	obja	361	361
7	aus	aus	P	PTKVZ	_	3	avz	_	_
8	und	und	K	KON	_	3	kon	_	_
9	sagte	sagen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	nach	nach	P	APPR	Dat	9	pp	_	_
12	dem	die	A	ART	Def|Neut|Dat|Sg	14	det	_	_
13	rechten	recht	A	ADJA	Pos|Neut|Dat|Sg|Wk|	14	attr	_	_
14	Ufer	Ufer	N	NN	Neut|Dat|Sg	15	objd	_	_
15	deutend	deuten	A	ADJD	_|<PPRES	11	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	mit	mit	P	APPR	Dat	9	pp	_	_
18	zitternder	zitternd	A	ADJD	Comp|<PPRES	17	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	bewegter	bewegt	A	ADJA	Pos|Fem|Dat|Sg|St|	21	attr	_	_
21	Stimme	Stimme	N	NN	Fem|Dat|Sg	9	objd	_	_
22	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	1328	1328
4	dort	dort	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	mein	meine	A	PPOSAT	_|Nom|Sg	7	det	_	_
7	Herz	Herz	N	NN	_|Nom|Sg	3	app	_	_
8	!	!	$	$.	_	0	root	_	_

1	Siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	1328	1328
3	den	die	A	ART	Def|Masc|Acc|Sg	6	det	1329	1329
4	breiten	breit	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	1329	1329
5	schönen	schön	A	ADJA	Pos|Masc|Acc|Sg|_|	6	attr	1329	1329
6	Strom	Strom	N	NN	Masc|Acc|Sg	1	obja	1329	1329
7	,	,	$	$,	_	0	root	_	_
8	der	die	P	PRELS	_|_|Sg	0	root	1329	1329
9	dort	dort	A	ADV	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	von	von	P	APPR	Dat	13	pp	_	_
12	Osten	Osten	N	NN	_|Dat|Sg	11	pn	_	_
13	niederkommend	niederkommend	A	ADJD	_|_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	sich	sie	P	PRF	3|_|_	19	obja	_	_
16	in	in	P	APPR	Acc	19	pp	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	18	18
18	Mississippi	Mississippi	N	NE	Masc|Acc|Sg	16	pn	18	18
19	wälzt	wälzen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
20	?	?	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	4	objp	_	_
2	seiner	seine	A	PPOSAT	Fem|Dat|Sg	3	det	18	18
3	Mündung	Mündung	N	NN	Fem|Dat|Sg	1	pn	_	_
4	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	7	det	_	_
6	kleine	klein	A	ADJA	Pos|Fem|Nom|Sg|_|	7	attr	_	_
7	Stadt	Stadt	N	NN	Fem|Nom|Sg	4	subj	_	_
8	da	da	A	ADV	_	4	adv	_	_
9	vorn	vorn	A	ADV	_	4	adv	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gewiß	gewiß	A	ADJD	Pos|	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	lautete	lauten	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	die	die	A	ART	Def|Fem|Nom|Sg	8	det	_	_
