61	sagten	sagen	V	VVFIN	_|Pl|Past|_	60	cj	_	_
62	sich	sie	P	PRF	3|_|_	61	obja	_	_
63	zu	zu	P	PTKVZ	_	61	avz	_	_
64	,	,	$	$,	_	0	root	_	_
65	einander	einander	P	PRF	_	69	obja	_	_
66	nie	nie	A	ADV	_	69	adv	_	_
67	barhaupt	barhaupt	A	ADJD	_	69	adv	_	_
68	zu	zu	P	PTKZU	_	69	part	_	_
69	grüßen	grüßen	V	VVINF	_	61	obji	_	_
70	,	,	$	$,	_	0	root	_	_
71	sondern	sondern	K	KON	_	69	kon	_	_
72	ein	eine	A	ART	Indef|Neut|_|Sg	73	det	_	_
73	Exempel	Exempel	N	NN	Neut|_|Sg	75	obja	_	_
74	zu	zu	P	PTKZU	_	75	part	_	_
75	geben	geben	V	VVINF	_	71	cj	_	_
76	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	277	277
2	Stube	Stube	N	NN	Fem|Nom|Sg	3	subj	277	277
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Arbeitsloge	Arbeitslog	N	NN	Fem|_|Sg	3	obja	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Vito	Vito	N	NE	Fem|_|Sg	6	cj	253	253
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
9	Bruder	Bruder	N	NN	Masc|Nom|Sg	3	pred	_	_
10	;	;	$	$.	_	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	280	280
12	Statthalter	Statthalter	N	NN	Masc|Nom|Sg	13	subj	280	280
13	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	_	_
15	Logenmeister	Logenmeister	N	NN	Masc|Nom|Sg	13	pred	_	_
16	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	für	für	P	APPR	Acc	0	root	_	_
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	der	die	P	PRELS	_|_|Sg	0	root	_	_
7	aus	aus	P	APPR	Dat	23	pp	_	_
8	einer	eine	A	ART	Indef|Fem|Dat|Sg	10	det	_	_
9	großen	groß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	10	attr	_	_
10	Stadt	Stadt	N	NN	Fem|Dat|Sg	7	pn	_	_
11	herkömmt	herkömmt	N	NE	Neut|_|Sg	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	nichts	nichts	A	PIAT	Neut|_|Sg	14	det	_	_
14	Schwereres	Schwereres	N	NN	Neut|_|Sg	11	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	als	als	K	KOKOM	_	11	kom	_	_
17	in	in	P	APPR	Dat	16	cj	_	_
18	einer	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
19	kleinen	klein	A	ADJA	Fem|_|Sg	17	pn	_	_
20	kein	keine	A	PIAT	Masc|Nom|Sg	21	det	_	_
21	Narr	Narr	N	NN	Masc|Nom|Sg	23	pred	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	werden	werden	V	VAINF	_	0	root	_	_
24	;	;	$	$.	_	0	root	_	_
25	der	die	A	ART	Def|_|_|_	27	det	_	_
26	bedeckten	bedeckt	A	ADJA	Pos|_|_|_|Wk|	27	attr	_	_
27	Loge	Log	N	NN	_|_|_	0	root	_	_
28	wurd	wurd	F	FM	_|_|_	27	app	_	_
29	'	'	$	$(	_	0	root	_	_
30	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
