29	man	man	P	PIS	_|Nom|Sg	28	subj	_	_
30	den	die	A	ART	Def|Masc|Dat|Pl	31	det	_	_
31	Rammeln	Rammel	N	NN	Masc|Dat|Pl	35	objd	_	_
32	die	die	A	ART	Def|Masc|_|Pl	33	det	_	_
33	Köpfe	Kopf	N	NN	Masc|_|Pl	35	obja	_	_
34	nicht	nicht	P	PTKNEG	_	35	adv	_	_
35	einschlagen	einschlagen	V	VVINF	_	28	aux	_	_
36	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	93	93
3	machen	machen	V	VVFIN	1|Pl|Pres|_	8	s	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	_	_
5	Streifpatrulle	Streifpatrulle	N	NN	Fem|_|Sg	3	obja	_	_
6	"	"	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	Simon	Simon	N	NE	_|Nom|Sg	8	subj	6	6
10	,	,	$	$,	_	0	root	_	_
11	"	"	$	$(	_	0	root	_	_
12	und	und	K	KON	_	8	kon	_	_
13	schleichen	schleichen	V	VVFIN	_|Pl|Pres|_	12	cj	_	_
14	uns	wir	P	PRF	1|Pl|_	13	obja	_	_
15	an	an	P	APPR	Acc	13	pp	_	_
16	den	die	A	ART	Def|Masc|Acc|Sg	17	det	82	82
17	Feind	Feind	N	NN	Masc|Acc|Sg	15	pn	82	82
18	heran	heran	P	PTKVZ	_	13	avz	_	_
19	.	.	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	5	konj	_	_
2	die	die	A	ART	Def|Fem|Nom|Sg	3	det	_	_
3	Sternbräustiege	Sternbräustiege	N	NN	Fem|Nom|Sg	5	subj	_	_
4	frei	frei	A	ADJD	Pos|	5	pred	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	kommen	kommen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	9	subj	93	93
9	gedeckt	decken	V	VVPP	_	7	neb	_	_
10	hinauf	hinauf	P	PTKVZ	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	dann	dann	A	ADV	_	14	adv	_	_
14	sehen	sehen	V	VVFIN	1|Pl|Pres|_	12	cj	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	93	93
16	schon	schon	A	ADV	_	14	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	wie	wie	P	PWAV	_	21	pred	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
20	weiter	weiter	A	ADV	_	21	adv	_	_
21	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	14	objc	_	_
22	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|_|Pl	2	det	_	_
2	drei	drei	C	CARD	_|_|_	3	subj	_	_
3	liefen	laufen	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	schnell	schnell	A	ADJD	Pos|	3	adv	_	_
5	am	an	P	APPRART	Dat	3	pp	_	_
6	Alzufer	Alzufer	N	NN	Neut|Dat|Sg	5	pn	_	_
7	hinauf	hinauf	A	ADV	_	3	adv	_	_
8	und	und	K	KON	_	0	root	_	_
9	hatten	haben	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	94	94
11	Glück	Glück	N	NN	Neut|_|Sg	9	obja	94	94
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	21	konj	_	_
14	unterwegs	unterwegs	A	ADV	_	21	adv	_	_
15	noch	noch	A	ADV	_	21	adv	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	95	95
17	Zimmermann	Zimmermann	N	NN	Masc|Nom|Sg	21	subj	95	95
18	Heiß	heiß	A	ADJD	Pos|	21	adv	95	95
19	zu	zu	P	APPR	Dat	21	pp	95	95
20	ihnen	sie	P	PPER	3|Pl|_|Dat	19	pn	95	95
21	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	9	subjc	95	95
22	,	,	$	$,	_	0	root	95	95
23	der	die	P	PRELS	Masc|Nom|Sg	29	subj	95	95
24	ein	eine	A	ART	Indef|Masc|Nom|Sg	25	det	104	104
25	Pionier	Pionier	N	NN	Masc|Nom|Sg	29	pred	104	104
26	bei	bei	P	APPR	Dat	29	pp	_	_
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	69	69
28	Bürgergarde	Bürgergarde	N	NN	Fem|Dat|Sg	26	pn	69	69
29	war	sein	V	VAFIN	3|Sg|Past|Ind	17	rel	_	_
30	und	und	K	KON	_	29	kon	_	_
31	mit	mit	P	APPR	Dat	34	pp	_	_
32	der	die	A	ART	Def|Fem|Dat|Sg	33	det	111	111
33	Axt	Axt	N	NN	Fem|Dat|Sg	31	pn	111	111
34	ausrückte	ausrücken	V	VVFIN	_|Sg|Past|_	30	cj	_	_
35	.	.	$	$.	_	0	root	_	_

1	Vom	von	P	APPRART	Dat	4	pp	_	_
2	Fluß	Fluß	N	NN	Masc|Dat|Sg	1	pn	_	_
3	weg	weg	A	ADV	_	2	adv	_	_
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	direkt	direkt	A	ADJD	Pos|	4	adv	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
7	überwölbte	überwölbt	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Stiege	Stiege	N	NN	Fem|Nom|Sg	4	subj	_	_
9	in	in	P	APPR	Acc	4	objp	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	_	_
11	Hof	Hof	N	NN	Masc|Acc|Sg	9	pn	_	_
12	des	die	A	ART	Def|_|Gen|Sg	13	det	_	_
13	Sternbräu	Sternbräu	N	NN	_|Gen|Sg	11	gmod	_	_
14	,	,	$	$,	_	0	root	_	_
15	wo	wo	P	PWAV	_	21	adv	_	_
16	man	man	P	PIS	_|Nom|Sg	21	subj	_	_
17	dann	dann	A	ADV	_	21	adv	_	_
18	mitten	mitten	A	ADV	_	19	adv	_	_
19	am	an	P	APPRART	Dat	21	pp	_	_
20	Marktplatz	Marktplatz	N	NN	Masc|Dat|Sg	19	pn	81	81
21	war	sein	V	VAFIN	3|Sg|Past|Ind	13	rel	_	_
22	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	85	85
2	Batz	Batz	N	NN	Masc|Nom|Sg	3	subj	85	85
3	schlich	schleichen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	voran	voran	P	PTKVZ	_	3	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	hinterdrein	hinterdrein	K	KOUS	_	0	root	_	_
7	der	die	A	ART	Def|_|_|Sg	8	det	6	6
8	Simon	Simon	N	NE	_|_|Sg	0	root	6	6
9	,	,	$	$,	_	0	root	_	_
10	dann	dann	A	ADV	_	11	adv	_	_
11	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
12	die	die	A	ART	Def|_|_|Pl	14	det	_	_
13	andern	andern	A	ADJA	_|_|_|Pl|_	14	attr	_	_
14	zwei	zwei	C	CARD	_|_|_	11	subj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	niemand	niemand	P	PIS	_|Nom|_	2	pred	_	_
4	um	um	P	APPR	Acc	2	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Weg	Weg	N	NN	Masc|Acc|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	denn	denn	K	KON	_	2	kon	_	_
9	beim	bei	P	APPRART	Dat	11	pp	_	_
10	Sternbräu	Sternbräu	N	NN	_|Dat|_	9	pn	100	100
11	war	sein	V	VAFIN	3|Sg|Past|Ind	8	cj	_	_
12	das	die	A	ART	Def|Neut|Nom|Sg	13	det	96	96
13	Tor	Tor	N	NN	Neut|Nom|Sg	11	subj	96	96
14	geschlossen	geschlossen	V	VVPP	_	11	aux	_	_
15	;	;	$	$.	_	0	root	_	_
16	aber	aber	K	KON	_	0	root	_	_
17	im	in	P	APPRART	Dat	19	pp	_	_
18	Hof	Hof	N	NN	Masc|Dat|Sg	17	pn	_	_
19	stand	stehen	V	VVFIN	3|Sg|Past|Ind	16	cj	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	21	det	97	97
21	Bezirkskommandeur	Bezirkskommandeur	N	NN	Masc|Nom|Sg	19	subj	97	97
22	,	,	$	$,	_	0	root	97	97
23	Oberst	Oberst	N	NN	Masc|Nom|Sg	21	app	97	97
24	Hingerl	Hingerl	N	NE	Masc|Nom|Sg	23	app	97	97
25	mit	mit	P	APPR	Dat	23	pp	_	_
26	Namen	Name	N	NN	Masc|Dat|_	25	pn	_	_
27	,	,	$	$,	_	0	root	_	_
28	und	und	K	KON	_	19	kon	_	_
29	sein	seine	A	PPOSAT	Masc|Nom|Sg	30	det	97	97
30	Feldwebel	Feldwebel	N	NN	Masc|Nom|Sg	31	subj	_	_
31	war	sein	V	VAFIN	3|Sg|Past|Ind	28	cj	_	_
32	bei	bei	P	APPR	Dat	31	pp	_	_
33	ihm	er	P	PPER	3|Sg|_|Dat	32	pn	97	97
34	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|_|_|_	4	det	98	98
4	Kontrollversammlung	Kontrollversammlung	N	NN	_|_|_	9	obja	98	98
5	bei	bei	P	APPR	Dat	9	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	_	_
7	Tumult	Tumult	N	NN	Masc|Dat|Sg	5	pn	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	abhalten	abhalten	V	VVINF	_	2	aux	_	_
10	und	und	K	KON	_	2	kon	_	_
11	blieb	bleiben	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	in	in	P	APPR	Dat	11	pp	_	_
13	seiner	seine	A	PPOSAT	Fem|Dat|Sg	14	det	7	7
14	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	12	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	11	kon	_	_
17	das	die	P	PDS	Neut|Nom|Sg	18	subj	_	_
18	war	sein	V	VAFIN	_|Sg|Past|Ind	16	cj	_	_
19	sein	seine	A	PPOSAT	Neut|Nom|Sg	20	det	7	7
20	Glück	Glück	N	NN	Neut|Nom|Sg	18	pred	_	_
21	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	9	konj	_	_
