38	welches	welche	P	PRELS	Neut|_|Sg	43	obja	1698	1698
39	das	die	A	ART	Def|Neut|Nom|Sg	40	det	7	7
40	Leben	Leben	N	NN	Neut|Nom|Sg	43	subj	7	7
41	seinen	seine	A	PPOSAT	_|Dat|_	42	det	7	7
42	Kindern	Kind	N	NN	_|Dat|_	43	objd	_	_
43	mitgibt	mitgeben	V	VVFIN	3|Sg|Pres|Ind	36	rel	_	_
44	auf	auf	P	APPR	Dat	43	pp	_	_
45	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	46	det	1699	1699
46	Wege	Weg	N	NN	Masc|Dat|Sg	44	pn	_	_
47	von	von	P	APPR	_	46	pp	_	_
48	der	die	A	ART	Def|Fem|_|Sg	49	det	1037	1037
49	Wiege	Wiege	N	NN	Fem|_|Sg	47	pn	1037	1037
50	bis	bis	P	APPR	Acc	47	kon	_	_
51	zum	zu	P	APPRART	Dat	50	pp	_	_
52	Grabe	Grab	N	NN	Neut|Dat|Sg	51	pn	_	_
53	,	,	$	$,	_	0	root	1917)	1917)
54	zerbrach	zerbrechen	V	VVFIN	3|Sg|Past|Ind	0	root	1917)	1917)
55	ihm	er	P	PPER	3|Sg|_|Dat	54	objd	1697	1697
56	in	in	P	APPR	Dat	54	pp	_	_
57	den	die	A	ART	Def|Fem|Dat|Pl	58	det	92	92
58	Händen	Hand	N	NN	Fem|Dat|Pl	56	pn	92	92
59	mit	mit	P	APPR	Dat	54	pp	_	_
60	der	die	A	ART	Def|Fem|Dat|Sg	61	det	46	46
61	Erinnerung	Erinnerung	N	NN	Fem|Dat|Sg	59	pn	46	46
62	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	eine	eine	A	ART	Indef|Fem|Nom|Sg	5	det	_	_
4	schreckliche	schrecklich	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Vorstellung	Vorstellung	N	NN	Fem|Nom|Sg	2	pred	_	_
6	!	!	$	$.	_	0	root	_	_

1	Ihr	ihre	A	PPOSAT	_|Nom|Sg	2	det	46	46
2	Weisen	Weise	N	NN	_|Nom|Sg	18	subj	_	_
3	und	und	K	KON	_	2	kon	_	_
4	Prediger	Prediger	N	NN	Masc|Nom|_	3	cj	_	_
5	der	die	A	ART	Def|Neut|Gen|Pl	6	det	761	761
6	Völker	Volk	N	NN	Neut|Gen|Pl	2	gmod	761	761
7	,	,	$	$,	_	0	root	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	2	kon	_	_
11	an	an	P	APPR	_	10	pp	_	_
12	Glück	Glück	N	NN	Neut|_|Sg	11	pn	_	_
13	oder	oder	K	KON	_	12	kon	_	_
14	Unheil	Unheil	N	NN	Neut|_|Sg	13	cj	_	_
15	in	in	P	APPR	Dat	14	pp	_	_
16	der	die	A	ART	Def|Fem|Dat|Sg	17	det	1133	1133
17	Zukunft	Zukunft	N	NN	Fem|Dat|Sg	15	pn	1133	1133
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
19	'	'	$	$(	_	0	root	_	_
20	s	s	P	PPER	_|_|_|Nom	18	pred	46	46
21	,	,	$	$,	_	0	root	_	_
22	der	die	P	PRELS	_|_|Sg	0	root	46	46
23	liebevoll	liebevoll	A	ADJD	Pos|	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	rein	rein	P	PTKVZ	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	heilig	heilig	A	ADJD	Pos|	28	pred	_	_
28	macht	machen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
29	;	;	$	$.	_	0	root	_	_
30	nie	nie	A	ADV	_	31	adv	_	_
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
32	dieser	diese	A	PDAT	Masc|Nom|Sg	33	det	640	640
33	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	31	subj	640	640
34	rein	rein	A	ADJD	Pos|	31	pred	_	_
35	von	von	P	APPR	_	31	pp	_	_
36	Egoismus	Egoismus	N	NN	Masc|_|Sg	35	pn	_	_
37	,	,	$	$,	_	0	root	_	_
38	und	und	K	KON	_	35	kon	_	_
39	über	über	P	APPR	Acc	38	cj	_	_
40	jede	jede	A	PIDAT	Fem|Acc|Sg	41	det	1700	1700
