3	!	!	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	1518	1518
2	Freund	Freund	N	NN	Masc|Nom|Sg	3	subj	1519	1519
3	fährt	fahren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	dem	die	A	ART	Def|Neut|Dat|Sg	6	det	431	431
6	Kap	Kap	N	NN	Neut|Dat|Sg	4	pn	431	431
7	der	die	A	ART	Def|Fem|Gen|Sg	9	det	13	13
8	Guten	gut	A	ADJA	Pos|Fem|Gen|Sg|Wk|	9	attr	13	13
9	Hoffnung	Hoffnung	N	NN	Fem|Gen|Sg	6	gmod	13	13
10	nach	nach	P	APPR	Dat	3	pp	_	_
11	Hause	Haus	N	NN	Neut|Dat|Sg	10	pn	96	96
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	3	kon	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	1518	1518
15	bringe	bringen	V	VVFIN	1|Sg|Pres|_	13	cj	_	_
16	ihn	er	P	PPER	3|Sg|Masc|Acc	15	obja	1519	1519
17	bloß	bloß	A	ADV	_	15	adv	_	_
18	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
19	bißchen	bißchen	A	ADV	_	20	adv	_	_
20	auf	auf	P	APPR	Acc	0	root	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	40	40
22	Weg	Weg	N	NN	Masc|Acc|Sg	20	pn	40	40
23	.	.	$	$.	_	0	root	_	_

1	Übrigens	übrigens	A	ADV	_	2	adv	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	4	4
4	auch	auch	A	ADV	_	9	adv	_	_
5	heute	heute	A	ADV	_	9	adv	_	_
6	mittag	mittag	A	ADV	_	9	adv	_	_
7	bei	bei	P	APPR	Dat	9	pp	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	pn	1518	1518
9	gegessen	essen	V	VVPP	_	2	aux	_	_
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Mehr	mehr	A	ADV	_	2	adv	_	_
2	als	als	K	KOKOM	_	4	kom	_	_
3	einmal	einmal	A	ADV	_	2	cj	_	_
4	vernahm	vernehmen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	1518	1518
6	dann	dann	A	ADV	_	4	adv	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	37	37
8	Wort	Wort	N	NN	Neut|_|Sg	4	obja	37	37
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	14	det	470	470
14	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	11	pred	470	470
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_
17	...	...	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	3|Sg|Past|Ind	8	neb	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	92	92
3	Tag	Tag	N	NN	Masc|Nom|Sg	1	subj	92	92
4	schön	schön	A	ADJD	Pos|	5	pred	_	_
5	gewesen	sein	V	VAPP	_	1	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	56	56
10	Abend	Abend	N	NN	Masc|Nom|Sg	8	subj	56	56
11	wundervoll	wundervoll	A	ADJD	Pos|	8	pred	_	_
12	.	.	$	$.	_	0	root	_	_

1	Tiefer	tief	A	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	_
2	Friede	Friede	N	NN	Masc|Nom|Sg	0	root	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|Fem|Dat|Sg	5	det	252	252
5	Natur	Natur	N	NN	Fem|Dat|Sg	3	pn	252	252
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	54	54
9	Stadt	Stadt	N	NN	Fem|_|Sg	7	cj	54	54
10	still	still	A	ADJD	Pos|	0	root	_	_
11	und	und	K	KON	_	10	kon	_	_
12	reinlich	reinlich	A	ADJD	Pos|	11	cj	_	_
