13	Wißbegierde	Wißbegierde	N	NN	_|_|_	18	obja	_	_
14	doch	doch	A	ADV	_	18	adv	_	_
15	immer	immer	A	ADV	_	18	adv	_	_
16	mit	mit	P	APPR	Dat	18	pp	_	_
17	sich	sie	P	PRF	3|_|Dat	16	pn	_	_
18	herumträgt	herumtragen	V	VVFIN	3|Sg|Pres|Ind	20	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	suche	suchen	V	VVFIN	1|Sg|Pres|_	9	cj	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	1809	1809
22	ihn	er	P	PPER	3|Sg|Masc|Acc	20	obja	334	334
23	wirklich	wirklich	A	ADJD	Pos|	26	adv	_	_
24	ein	eine	A	ART	Indef|_|_|Sg	25	part	_	_
25	bißchen	bisschen	P	PIS	_	26	obja	_	_
26	auszuholen	ausholen	V	VVIZU	_	20	obji	_	_
27	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	greint	greinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	334	334
4	nur	nur	A	ADV	_	2	adv	_	_
5	ganz	ganz	A	ADV	_	6	adv	_	_
6	heimtückisch	heimtückisch	A	ADJD	Pos|	2	adv	_	_
7	:	\:	$	$.	_	0	root	_	_
8	›	›	F	FM	_	0	root	_	_
9	Der	die	A	ART	Def|Masc|Gen|Pl	10	det	128	128
10	Frau	Frau	N	NN	Masc|Gen|Pl	8	gmod	128	128
11	Rittmeistern	Rittmeister	N	NN	Masc|Gen|_	10	app	128	128
12	ihr	ihre	A	PPOSAT	Neut|_|Sg	13	det	128	128
13	Jubiläum	Jubiläum	N	NN	Neut|_|Sg	0	root	_	_
14	?	?	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	3	subj	1808	1808
5	sich	sie	P	PRF	3|_|Dat	8	objd	_	_
6	doch	doch	A	ADV	_	8	adv	_	_
7	nichts	nichts	P	PIS	_	8	obja	_	_
8	einbilden	einbilden	V	VVINF	_	3	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	Frau	Frau	N	NN	Neut|_|Sg	3	vok	_	_
11	Hangohr	Hangohr	N	NN	Neut|_|Sg	10	app	_	_
12	;	;	$	$.	_	0	root	_	_
13	meines	meine	A	PPOSAT	_|Gen|Sg	0	root	1809	1809
14	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	gefeiert	feiern	V	VVPP	_	14	aux	_	_
16	!	!	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|_|Pl	2	det	128	128
2	Frau	Frau	N	NN	Masc|_|Pl	4	obja	128	128
3	Rittmeistern	Rittmeister	N	NN	_|_|_	2	app	128	128
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|Dat	4	objd	_	_
6	auf	auf	P	APPR	_	4	pp	_	_
7	heute	heute	A	ADV	_	6	adv	_	_
8	abend	abend	A	ADV	_	4	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	nur	nur	A	ADV	_	0	root	_	_
11	um	um	K	KOUI	_	16	konj	_	_
12	mir	ich	P	PRF	1|Sg|Dat	16	objd	_	_
13	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	_	_
14	Pläsier	Pläsier	N	NN	Neut|_|Sg	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	machen	machen	V	VVINF	_	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	die	die	A	ART	Def|Fem|_|Sg	19	det	_	_
19	Gesellschaft	Gesellschaft	N	NN	Fem|_|Sg	0	root	_	_
20	aus	aus	P	APPR	Dat	19	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	1810	1810
22	Fremde	Fremde	N	NN	Fem|Dat|Sg	20	pn	1810	1810
23	hergebeten	herbitten	V	VVPP	_	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	4	subj	_	_
2	aber	aber	A	ADV	_	4	adv	_	_
3	eigentlich	eigentlich	A	ADV	_	4	adv	_	_
4	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	12	objc	_	_
5	,	,	$	$,	_	0	root	_	_
6	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	1809	1809
8	Ihnen	sie	P	PPER	3|Pl|_|Dat	12	objd	1808	1808
9	selber	selber	A	ADV	_	8	adv	_	_
10	noch	noch	A	ADV	_	11	adv	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	sagen	sagen	V	VVINF	_	6	aux	_	_
13	..	..	$	$.	_	0	root	_	_
14	Daß	daß	K	KOUS	_	21	konj	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	21	subj	1811	1811
16	nachher	nachher	A	ADV	_	21	adv	_	_
17	vielleicht	vielleicht	A	ADV	_	21	adv	_	_
18	auch	auch	A	ADV	_	21	adv	_	_
19	unser	unsre	A	PPOSAT	Neut|_|Sg	20	det	1811	1811
20	Testament	Testament	N	NN	Neut|_|Sg	21	obja	_	_
21	machen	machen	V	VVFIN	1|Pl|Pres|_	27	objc	_	_
22	,	,	$	$,	_	0	root	_	_
23	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
24	Wanza	Wanza	N	NE	_|Nom|Sg	23	subj	43	43
25	ganz	ganz	A	ADV	_	26	adv	_	_
26	einerlei	einerlei	A	ADJD	Pos|	27	pred	_	_
27	sein	sein	V	VAINF	_	23	aux	_	_
28	.	.	$	$.	_	0	root	_	_
29	‹	‹	F	FM	_	0	root	_	_
30	-	-	$	$(	_	0	root	_	_
31	Nun	nun	A	ADV	_	37	adv	_	_
32	,	,	$	$,	_	0	root	_	_
33	denken	denken	V	VVFIN	3|Pl|Pres|_	31	par	_	_
34	Sie	sie	P	PPER	3|Pl|_|Nom	33	subj	1808	1808
35	mal	mal	A	ADV	_	33	adv	_	_
36	,	,	$	$,	_	0	root	_	_
37	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	_
38	Gevattern	Gevattern	N	NE	Fem|_|Sg	37	app	_	_
39	!	!	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	Gut	gut	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	3|Sg|Past|Ind	7	neb	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	282	282
3	Tag	Tag	N	NN	Masc|Nom|Sg	1	subj	282	282
4	schön	schön	A	ADJD	Pos|	1	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	221	221
9	Abend	Abend	N	NN	Masc|Nom|Sg	7	subj	221	221
10	womöglich	womöglich	A	ADV	_	7	adv	_	_
11	noch	noch	A	ADV	_	7	adv	_	_
12	schöner	schön	A	ADJD	Comp|	7	pred	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	daß	daß	K	KOUS	_	27	konj	_	_
16	die	die	A	ART	Def|Neut|Nom|Pl	17	det	_	_
17	Gemüter	Gemüt	N	NN	Neut|Nom|Pl	27	subj	_	_
18	in	in	P	APPR	Dat	27	pp	_	_
19	dem	die	A	ART	Def|Neut|Dat|Sg	20	det	10	10
20	Hause	Haus	N	NN	Neut|Dat|Sg	18	pn	10	10
21	am	an	P	APPRART	Dat	27	pp	_	_
22	Marktplatze	Marktplatz	N	NN	Masc|Dat|Sg	21	pn	1766	1766
