10	,	,	$	$,	_	0	root	_	_
11	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
12	nur	nur	A	ADV	_	11	adv	_	_
13	die	die	A	ART	Def|_|_|_	0	root	_	_
14	gewesen	sein	V	VAPP	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	wo	wo	P	PWAV	_	21	adv	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	22	subj	26	26
18	bei	bei	P	APPR	Dat	21	objp	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
20	Weibsbilder	Weibsbild	N	NN	Masc|Acc|Sg	18	pn	_	_
21	gelegen	liegen	V	VVPP	_	22	aux	_	_
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	10	pp	_	_
2	der	die	A	ART	Def|Fem|Dat|Sg	4	det	349	349
3	ganzen	ganz	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	349	349
4	Gegend	Gegend	N	NN	Fem|Dat|Sg	1	pn	349	349
5	,	,	$	$,	_	0	root	_	_
6	in	in	P	APPR	Dat	1	kon	_	_
7	jedem	jede	A	PIAT	Neut|Dat|Sg	8	det	_	_
8	Wirtshaus	Wirtshaus	N	NN	Neut|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	26	26
12	Schulden	Schuld	N	NN	_|_|_	10	obja	_	_
13	wie	wie	K	KOKOM	_	10	kom	_	_
14	Heuschober	Heuschober	N	NN	Masc|_|_	13	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Gepredigt	predigen	V	VVPP	_	2	aux	_	_
2	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	350	350
4	ihm	er	P	PPER	3|Sg|_|Dat	1	objd	26	26
5	wie	wie	K	KOKOM	_	1	kom	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
7	Kapuziner	Kapuziner	N	NN	Masc|Nom|Sg	5	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	10	det	351	351
10	Loch	Loch	N	NN	_|_|Sg	11	obja	351	351
11	hab	hab	V	VAFIN	1|Sg|_|_	2	kon	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	350	350
13	ihm	er	P	PPER	3|Sg|_|Dat	11	objd	26	26
14	in	in	P	APPR	Acc	11	pp	_	_
15	den	die	A	ART	Def|Masc|Acc|Sg	16	det	_	_
16	Bauch	Bauch	N	NN	Masc|Acc|Sg	14	pn	_	_
17	geredt	geredt	N	NE	Masc|Acc|Sg	16	app	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	nicht	nicht	P	PTKNEG	_	4	adv	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_|Sg|_|Nom	5	subj	351	351
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_|_|_|Dat	8	objd	352	352
8	geholfen	helfen	V	VVPP	_	5	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	wenn	wenn	K	KOUS	_	6	konj	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	351	351
4	so	so	A	ADV	_	5	adv	_	_
5	gekommen	kommen	V	VVPP	_	6	aux	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	hosensackblank	hosensackblank	A	ADJD	Pos|	0	root	_	_
9	und	und	K	KON	_	8	kon	_	_
10	mit	mit	P	APPR	Dat	9	cj	_	_
11	dem	die	A	ART	Def|_|Dat|Sg	13	det	_	_
12	lieben	lieb	A	ADJA	Pos|_|Dat|Sg|Wk|	13	attr	_	_
13	Schlappgöscherl	Schlappgöscherl	N	NN	_|Dat|Sg	10	pn	_	_
14	und	und	K	KON	_	13	kon	_	_
15	den	die	A	ART	Def|Neut|Dat|Pl	17	det	_	_
16	gutmütigen	gutmütig	A	ADJA	Pos|Neut|Dat|Pl|_|	17	attr	_	_
17	Augen	Auge	N	NN	Neut|Dat|Pl	14	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	da	da	A	ADV	_	20	adv	_	_
20	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
21	ich	ich	P	PPER	1|Sg|_|Nom	20	subj	350	350
22	mich	ich	P	PRF	1|Sg|Acc	25	obja	_	_
23	allweil	allweil	A	ADV	_	25	adv	_	_
24	wieder	wieder	A	ADV	_	25	adv	_	_
25	erbarmen	erbarmen	V	VVINF	_	26	aux	_	_
26	müssen	müssen	V	VMINF	_	20	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Meine	meine	A	PPOSAT	Fem|Nom|Sg	2	det	350	350
2	Frau	Frau	N	NN	Fem|Nom|Sg	8	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	6	det	_	_
5	narrische	narrisch	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	_
6	Gans	Gans	N	NN	Fem|Nom|Sg	2	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	7	7
10	auch	auch	A	ADV	_	8	adv	_	_
11	allweil	allweil	V	VVFIN	_|_|_|_	0	root	_	_
12	die	die	A	ART	Def|_|Nom|_	13	det	353	353
13	Stang	Stang	N	NN	_|Nom|_	11	subj	353	353
14	gehalten	halten	V	VVPP	_	11	neb	_	_
15	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	die	die	P	PDS	Fem|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	noch	noch	A	ADV	_	7	adv	_	_
5	eher	eher	A	ADV	_	7	adv	_	_
6	gescheit	gescheit	A	ADJD	Pos|	7	pred	_	_
7	geworden	werden	V	VAPP	_	3	aux	_	_
8	als	als	K	KOKOM	_	7	kom	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	cj	350	350
10	...	...	$	$.	_	0	root	_	_
11	weil	weil	K	KOUS	_	18	konj	_	_
12	'	'	$	$(	_	0	root	_	_
13	s	s	P	PPER	_|Sg|_|Nom	18	subj	353	353
14	ihr	ihr	P	PPER	3|Sg|Fem|Dat	17	objd	353	353
15	zu	zu	P	PTKA	_	16	adv	_	_
16	dumm	dumm	A	ADJD	Pos|	17	pred	_	_
17	geworden	werden	V	VAPP	_	18	aux	_	_
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	31	neb	_	_
19	,	,	$	$,	_	0	root	_	_
20	wie	wie	P	PWAV	_	31	adv	_	_
21	uns	wir	P	PPER	1|Pl|_|Dat	31	objd	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	26	26
23	Pepi	Pepi	N	NN	Masc|Nom|Sg	31	subj	26	26
24	in	in	P	APPR	Acc	31	objp	_	_
25	die	die	A	ART	Def|Masc|Acc|Pl	26	det	_	_
26	Kästen	Kasten	N	NN	Masc|Acc|Pl	24	pn	_	_
27	und	und	K	KON	_	24	kon	_	_
28	in	in	P	APPR	Acc	27	cj	_	_
29	die	die	A	ART	Def|Fem|Acc|Sg	30	det	356	356
30	Schüssel	Schüssel	N	NN	Fem|Acc|Sg	28	pn	356	356
31	greift	greifen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	.	.	$	$.	_	0	root	_	_
33	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	28	28
2	Oberjäger	Oberjäger	N	NN	Masc|Nom|Sg	3	subj	28	28
3	schwieg	schweigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	6	det	_	_
5	paar	paar	A	PIDAT	Fem|_|Pl	6	attr	_	_
6	Sekunden	Sekunda	N	NN	Fem|_|Pl	3	obja	_	_
7	und	und	K	KON	_	3	kon	_	_
8	griff	greifen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	mit	mit	P	APPR	Dat	8	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	12	det	_	_
11	zitternden	zitternd	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	12	attr	_	_
12	Hand	Hand	N	NN	Fem|Dat|Sg	9	pn	_	_
13	an	an	P	APPR	_	8	pp	_	_
14	seinen	seine	A	PPOSAT	Masc|_|Sg	15	det	28	28
15	Hinterkopf	Hinterkopf	N	NN	Masc|_|Sg	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Einen	ein	A	ART	Indef|Masc|Acc|Sg	3	det	_	_
3	Koffer	Koffer	N	NN	Masc|Acc|Sg	4	obja	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	7	7
6	doch	doch	A	ADV	_	4	adv	_	_
7	nie	nie	A	ADV	_	4	adv	_	_
8	bekommen	bekommen	V	VVINF	_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|_|_	2	det	_	_
2	Onkel	Onkel	N	NN	Masc|_|_	0	root	_	_
3	und	und	K	KON	_	0	root	_	_
4	so	so	A	ADV	_	3	cj	_	_
5	weiter	weiter	P	PTKVZ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	P	PDS	Neut|Nom|Sg	8	subj	_	_
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
9	doch	doch	A	ADV	_	11	adv	_	_
10	alles	alle	P	PIS	_|_|Sg	11	adv	_	_
11	erstunken	erstinken	V	VVPP	_	8	aux	_	_
12	und	und	K	KON	_	11	kon	_	_
13	erlogen	erlügen	V	VVPP	_	14	aux	_	_
14	gewesen	sein	V	VAPP	_	12	cj	_	_
15	.	.	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	3	pp	_	_
2	mir	ich	P	PPER	1|Sg|_|Dat	1	pn	371	371
