1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	191	191
2	werd	werd	V	VVFIN	1|Sg|_|_	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	7	obja	667	667
4	doch	doch	A	ADV	_	7	adv	_	_
5	net	net	A	ADV	_	7	adv	_	_
6	allein	allein	A	ADV	_	7	adv	_	_
7	lassen	lassen	V	VVINF	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	in	in	P	APPR	_	7	pp	_	_
10	deim	deim	A	ADJA	_|Masc|_|Sg|_	11	attr	_	_
11	Zustand	Zustand	N	NN	Masc|_|Sg	9	pn	_	_
12	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|_|Nom|_	3	det	191	191
3	Loni	Loni	N	NN	_|Nom|_	4	subj	191	191
4	möcht	möcht	V	VVFIN	_|_|_|_	0	root	_	_
5	sich	sie	P	PRF	3|_|_	4	obja	_	_
6	aber	aber	A	ADV	_	4	adv	_	_
7	sorgen	sorgen	V	VVINF	_	0	root	_	_
8	um	um	K	KOUI	_	0	root	_	_
9	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
10	...	...	$	$.	_	0	root	_	_
11	könntest	können	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
12	ihr	ihr	P	PPER	3|Sg|Fem|Dat	16	objd	191	191
13	schon	schon	A	ADV	_	16	adv	_	_
14	ein	eine	A	ART	Indef|_|_|Sg	15	det	668	668
15	Wörtl	Wörtl	N	NN	_|_|Sg	16	obja	668	668
16	sagen	sagen	V	VVINF	_	11	aux	_	_
17	:	\:	$	$.	_	0	root	_	_
18	Mir	Mir	N	NE	_	0	root	508	508
19	wär	wär	N	NE	_	18	app	508	508
20	net	net	A	ADV	_	21	adv	_	_
21	recht	recht	A	ADJD	Pos|	22	adv	_	_
22	gut	gut	A	ADJD	Pos|	0	root	_	_
23	...	...	$	$.	_	0	root	_	_
24	oder	oder	K	KON	_	0	root	_	_
25	was	was	P	PWS	Neut|_|Sg	27	obja	_	_
26	sonst	sonst	A	ADV	_	25	adv	_	_
27	sagen	sagen	V	VVINF	_	28	aux	_	_
28	magst	mögen	V	VMFIN	2|Sg|Pres|Ind	24	cj	_	_
29	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	mach	machen	V	VVIMP	Sg	1	cj	_	_
3	'	'	$	$(	_	0	root	_	_
4	s	s	P	PPER	_	2	obja	668	668
5	net	net	A	ADV	_	4	adv	_	_
6	arg	arg	A	ADJD	Pos|	2	pred	_	_
7	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	na	na	I	ITJ	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	669	669
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	doch	doch	A	ADV	_	5	adv	_	_
4	net	net	A	ADV	_	5	adv	_	_
5	weggehen	weggehen	V	VVINF	_	2	aux	_	_
6	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wann	Wann	P	PWAV	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	669	669
4	aber	aber	A	ADV	_	5	adv	_	_
5	schlafet	schlafen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nachher	Nachher	N	NE	_	0	root	670	670
3	vielleicht	vielleicht	A	ADV	_	2	adv	670	670
4	.	.	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Net	Net	N	NE	_	0	root	_	_
3	vielleicht	vielleicht	A	ADV	_	2	adv	_	_
4	...	...	$	$.	_	0	root	_	_
5	versprich	versprechen	V	VVIMP	Sg	0	root	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	objd	669	669
7	'	'	$	$(	_	0	root	_	_
8	s	s	P	PPER	_	5	obja	58	58
9	...	...	$	$.	_	0	root	_	_
10	gwiß	gwiß	F	FM	_	0	root	_	_
11	!	!	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_
4	ja	ja	A	ADV	_	0	root	_	_
5	...	...	$	$.	_	0	root	_	_
6	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
7	nur	nur	A	ADV	_	6	adv	_	_
8	stad	stad	A	ADJD	Pos|	6	adv	_	_
9	und	und	K	KON	_	8	kon	_	_
10	streng	streng	A	ADJD	Pos|	9	cj	_	_
11	dich	du	P	PRF	2|Sg|Acc	6	obja	_	_
12	net	net	A	ADV	_	6	adv	_	_
13	z	z	N	NN	_|Nom|Sg	6	subj	769	769
14	'	'	$	$(	_	0	root	_	_
15	arg	arg	A	ADJD	Pos|	6	adv	_	_
16	an	an	P	PTKVZ	_	6	avz	_	_
17	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	dauerte	dauern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	kaum	kaum	A	ADV	_	2	adv	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	6	det	_	_
5	paar	paar	A	PIDAT	Fem|_|Pl	6	attr	_	_
6	Minuten	Minute	N	NN	Fem|_|Pl	2	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	fing	fangen	V	VVFIN	3|Sg|Past|Ind	2	kon	_	_
10	Lehnl	Lehnl	N	NE	_|Nom|Sg	9	subj	97	97
11	leise	leise	A	ADJD	Pos|	9	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	schnarchen	schnarchen	V	VVINF	_	9	obji	_	_
14	an	an	P	PTKVZ	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Pauli	Pauli	N	NE	_	2	obja	40	40
2	wußte	wußte	V	VVFIN	_	0	root	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	13	konj	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	189	189
7	Alte	Alt	N	NN	Masc|Nom|Sg	13	subj	189	189
8	so	so	A	ADV	_	9	adv	_	_
9	rasch	rasch	A	ADJD	Pos|	11	adv	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	eingeschlafen	einschlafen	V	VVPP	_	12	aux	_	_
12	sein	sein	V	VAINF	_	13	aux	_	_
13	konnte	können	V	VMFIN	3|Sg|Past|Ind	2	subjc	_	_
14	,	,	$	$,	_	0	root	_	_
15	aber	aber	K	KON	_	13	kon	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	189	189
17	hielt	halten	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
18	es	es	P	PPER	3|Sg|Neut|_	17	obja	_	_
19	für	für	P	APPR	Acc	17	objp	_	_
20	gut	gut	A	ADJD	Pos|	19	pn	_	_
21	,	,	$	$,	_	0	root	_	_
22	auf	auf	P	APPR	Acc	27	objp	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	24	det	830	830
24	Wunsch	Wunsch	N	NN	Masc|Acc|Sg	22	pn	830	830
25	des	die	A	ART	Def|_|Gen|Sg	26	det	830	830
26	Kranken	Kranke	N	NN	_|Gen|Sg	24	gmod	830	830
27	einzugehen	eingehen	V	VVIZU	_	17	obji	_	_
28	.	.	$	$.	_	0	root	_	_

1	Sein	seine	A	PPOSAT	Neut|Nom|Sg	3	det	189	189
2	eigenes	eigen	A	ADJA	Pos|Neut|Nom|Sg|St|	3	attr	_	_
3	Herz	Herz	N	NN	Neut|Nom|Sg	4	subj	_	_
4	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	objd	189	189
6	wohl	wohl	A	ADV	_	4	adv	_	_
7	auch	auch	A	ADV	_	4	adv	_	_
8	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
9	wenig	wenig	A	ADV	_	0	root	_	_
10	zu	zu	P	PTKVZ	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	erhob	erheben	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	189	189
16	sich	sie	P	PRF	3|_|_	14	obja	_	_
17	denn	denn	A	ADV	_	14	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	zog	ziehen	V	VVFIN	_|Sg|Past|Ind	14	kon	_	_
20	geräuschlos	geräuschlos	A	ADJD	Pos|	19	adv	_	_
21	seine	seine	A	PPOSAT	Fem|_|Sg	22	det	189	189
22	Feiertagsjoppe	Feiertagsjoppe	N	NN	Fem|_|Sg	19	obja	_	_
23	an	an	P	PTKVZ	_	19	avz	_	_
24	und	und	K	KON	_	19	kon	_	_
25	ging	gehen	V	VVFIN	_|Sg|Past|Ind	24	cj	_	_
26	hinaus	hinaus	P	PTKVZ	_	25	avz	_	_
27	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	12	kom	_	_
2	Pauli	Pauli	N	NN	_	8	obja	40	40
3	,	,	$	$,	_	0	root	_	_
4	von	von	P	APPR	Dat	8	pp	_	_
5	Bekannten	Bekannte	N	NN	_|Dat|_	4	pn	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Freunden	Freund	N	NN	_|Dat|_	6	cj	671	671
8	angesprochen	ansprechen	V	VVPP	_	1	cj	_	_
9	und	und	K	KON	_	8	kon	_	_
10	aufgehalten	aufhalten	V	VVPP	_	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	endlich	endlich	A	ADJD	Pos|	15	adv	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	15	det	_	_
14	schmale	schmal	A	ADJA	Pos|Fem|Nom|Sg|_|	15	attr	_	_
15	Treppe	Treppe	N	NN	Fem|Nom|Sg	39	subj	_	_
16	,	,	$	$,	_	0	root	_	_
17	die	die	P	PRELS	Fem|Nom|Sg	27	subj	671	671
18	zu	zu	P	APPR	Dat	27	objp	_	_
19	dem	die	A	ART	Def|Masc|Dat|Sg	26	det	_	_
20	im	in	P	APPRART	Dat	25	pp	_	_
21	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	22	attr	_	_
22	Stocke	Stock	N	NN	Masc|Dat|Sg	20	pn	_	_
23	des	die	A	ART	Def|Neut|Gen|Sg	24	det	651	651
24	Wirtshauses	Wirtshaus	N	NN	Neut|Gen|Sg	22	gmod	651	651
25	gelegenen	gelegen	A	ADJA	Pos|Masc|Dat|Sg|Wk|	26	attr	_	_
26	Tanzboden	Tanzboden	N	NN	Masc|Dat|Sg	18	pn	_	_
27	führte	führen	V	VVFIN	3|Sg|Past|_	15	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	hinter	hinter	P	APPR	_	31	objp	_	_
30	sich	sie	P	PRF	3|_|_	29	pn	_	_
31	hatte	haben	V	VAFIN	_|Sg|Past|Ind	27	kon	_	_
32	und	und	K	KON	_	31	kon	_	_
33	auf	auf	P	APPR	Acc	37	pp	_	_
34	die	die	A	ART	Def|Fem|Acc|Sg	36	det	38	38
35	offene	offen	A	ADJA	Pos|Fem|Acc|Sg|_|	36	attr	38	38
36	Tür	Tür	N	NN	Fem|Acc|Sg	33	pn	38	38
37	zutrat	zutreten	V	VVFIN	_|Sg|Past|Ind	32	cj	_	_
38	,	,	$	$,	_	0	root	_	_
39	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
40	gerade	gerade	A	ADV	_	39	adv	_	_
41	ein	eine	A	ART	Indef|Masc|Nom|Sg	42	det	_	_
42	Tanz	Tanz	N	NN	Masc|Nom|Sg	39	pred	_	_
43	zu	zu	P	APPR	Dat	42	pp	_	_
44	Ende	Ende	N	NN	Neut|Dat|Sg	43	pn	146	146
45	.	.	$	$.	_	0	root	_	_

1	Plaudernd	plaudern	A	ADJD	_|<PPRES	6	adv	_	_
2	,	,	$	$,	_	0	root	_	_
3	lärmend	lärmen	A	ADJD	_|<PPRES	1	kon	_	_
4	und	und	K	KON	_	3	kon	_	_
5	jauchzend	jauchzen	A	ADJD	_|<PPRES	4	cj	_	_
6	umschritten	umschreiten	V	VVFIN	3|Pl|Past|_	0	root	_	_
7	die	die	A	ART	Def|Neut|Nom|Pl	9	det	_	_
8	einzelnen	einzeln	A	ADJA	Pos|Neut|Nom|Pl|Wk|	9	attr	_	_
9	Paare	Paar	N	NN	Neut|Nom|Pl	6	subj	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
11	niederen	nieder	A	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	_	_
12	Saal	Saal	N	NN	Masc|Acc|Sg	6	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	um	um	K	KOUI	_	21	konj	_	_
15	sich	sie	P	PRF	3|_|_	21	obja	_	_
16	an	an	P	APPR	Acc	21	objp	_	_
17	die	die	A	ART	Def|Masc|Acc|Pl	19	det	672	672
18	gedeckten	gedeckt	A	ADJA	Pos|Masc|Acc|Pl|Wk|	19	attr	672	672
19	Tische	Tisch	N	NN	Masc|Acc|Pl	16	pn	672	672
20	zu	zu	P	PTKZU	_	21	part	672	672
21	verlieren	verlieren	V	VVINF	_	6	neb	672	672
22	,	,	$	$,	_	0	root	672	672
23	die	die	P	PRELS	Masc|Nom|Pl	33	subj	672	672
24	in	in	P	APPR	Dat	33	pp	_	_
25	dem	die	A	ART	Def|Neut|Dat|Sg	27	det	_	_
26	anstoßenden	anstoßend	A	ADJA	Pos|Neut|Dat|Sg|Wk|<PPRES	27	attr	_	_
27	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	24	pn	_	_
28	durch	durch	P	APPR	Acc	33	pp	_	_
29	einen	eine	A	ART	Indef|Masc|Acc|Sg	31	det	_	_
30	breiten	breit	A	ADJA	Pos|Masc|Acc|Sg|_|	31	attr	_	_
31	Wanddurchbruch	Wanddurchbruch	N	NN	Masc|Acc|Sg	28	pn	_	_
32	sichtbar	sichtbar	A	ADJD	Pos|	33	pred	_	_
33	waren	sein	V	VAFIN	3|Pl|Past|Ind	19	rel	_	_
34	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	schick	schicken	V	VVIMP	Sg	0	root	_	_
4	dich	du	P	PPER	2|Sg|_|Acc	3	obja	_	_
5	!	!	$	$.	_	0	root	_	_

1	«	«	$	$(	_	0	root	_	_
2	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	Pauli	Pauli	N	NE	_|Nom|Sg	2	subj	293	293
4	Lonis	Lonis	N	NE	_|Nom|Sg	3	app	293	293
5	helle	hell	A	ADJA	Pos|Fem|_|Sg|_|	6	attr	_	_
6	Stimme	Stimme	N	NN	Fem|_|Sg	2	obja	_	_
7	von	von	P	APPR	_	6	pp	_	_
8	der	die	A	ART	Def|Fem|_|Sg	9	det	673	673
9	Treppe	Treppe	N	NN	Fem|_|Sg	7	pn	673	673
10	her	her	P	PTKVZ	_	2	avz	_	_
11	;	;	$	$.	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	gleich	gleich	A	ADV	_	14	adv	_	_
14	darauf	darauf	P	PROAV	_	15	pp	_	_
15	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	673	673
17	auf	auf	P	APPR	Dat	15	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	20	det	_	_
