11	diese	diese	P	PDS	Fem|Nom|Sg	12	subj	_	_
12	las	lesen	V	VVFIN	3|Sg|Past|Ind	10	cj	_	_
13	nun	nun	A	ADV	_	12	adv	_	_
14	mit	mit	P	APPR	Dat	12	pp	_	_
15	halblauter	halblaut	A	ADJA	Pos|Fem|Dat|Sg|St|	16	attr	_	_
16	Stimme	Stimme	N	NN	Fem|Dat|Sg	14	pn	_	_
17	:	\:	$	$.	_	0	root	_	_
18	»	»	$	$(	_	0	root	_	_
19	Mein	meine	A	PPOSAT	Masc|Nom|Sg	22	det	94	94
20	lieber	lieb	A	ADJD	Comp|	21	adv	_	_
21	schwarzer	schwarz	A	ADJA	Pos|Masc|Nom|Sg|St|	22	attr	_	_
22	Deibel	Deibel	N	NN	Masc|Nom|Sg	0	root	_	_
23	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	94	94
2	komme	kommen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	heute	heute	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	aber	aber	K	KON	_	3	kon	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	allein	allein	A	ADV	_	5	cj	_	_
8	;	;	$	$.	_	0	root	_	_
9	Papageno	Papageno	N	NE	_|Nom|Sg	10	subj	186	186
10	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
11	mit	mit	P	APPR	Dat	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	14	det	96	96
14	Neffe	Neffe	N	NN	Masc|Nom|Sg	12	cj	96	96
15	von	von	P	APPR	Dat	14	pp	96	96
16	mir	ich	P	PPER	1|Sg|_|Dat	15	pn	94	94
17	auch	auch	A	ADV	_	15	adv	_	_
18	;	;	$	$.	_	0	root	_	_
19	natürlich	natürlich	A	ADJD	Pos|	20	adv	_	_
20	noch	noch	A	ADV	_	21	adv	_	_
21	jung	jung	A	ADJD	Pos|	0	root	_	_
22	und	und	K	KON	_	21	kon	_	_
23	etwas	etwas	A	ADV	_	24	adv	_	_
24	blaß	blaß	A	ADJD	Pos|	22	cj	_	_
25	.	.	$	$.	_	0	root	_	_

1	›	›	N	NE	_	0	root	285	285
2	Aber	aber	K	KON	_	0	root	_	_
3	bleich	bleich	A	ADJD	Pos|	2	cj	_	_
4	und	und	K	KON	_	3	kon	_	_
5	blaß	blaß	A	ADJD	Pos|	4	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	ei	ei	F	FM	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Neut|Nom|Pl	10	det	_	_
10	Weiber	Weib	N	NN	Neut|Nom|Pl	11	subj	_	_
11	lieben	lieben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
12	das	die	P	PDS	Neut|_|Sg	11	obja	_	_
13	.	.	$	$.	_	0	root	_	_
14	‹	‹	A	ADJA	_|Fem|_|Sg|_	15	attr	_	_
15	Sorge	Sorge	N	NN	Fem|_|Sg	0	root	_	_
16	nur	nur	A	ADV	_	15	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	20	konj	_	_
19	Wanda	Wanda	N	NE	Fem|Nom|Sg	20	subj	30	30
20	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	15	objc	_	_
21	und	und	K	KON	_	0	root	_	_
22	Stine	Stine	N	NE	_	21	cj	75	75
23	.	.	$	$.	_	0	root	_	_

1	Wein	Wein	N	NN	Masc|_|Sg	0	root	_	_
2	schick	schick	A	ADJD	Pos|	4	adv	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	94	94
5	und	und	K	KON	_	4	kon	_	_
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	7	det	_	_
7	Salatschüssel	Salatschüssel	N	NN	Fem|Nom|Sg	5	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	für	für	P	APPR	Acc	7	objp	_	_
3	alles	alle	P	PIS	Neut|Acc|Sg	2	pn	_	_
4	andre	andere	P	PIS	_|Acc|_	3	app	_	_
5	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	1	cj	_	_
6	Du	du	P	PPER	2|Sg|_|Nom	5	subj	95	95
7	sorgen	sorgen	V	VVINF	_	5	aux	_	_
8	.	.	$	$.	_	0	root	_	_

1	Nichts	Nichts	A	PIAT	Neut|_|Sg	2	det	_	_
2	Apartes	Apartes	N	NN	Neut|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	nichts	nichts	A	PIAT	Neut|_|Sg	5	det	_	_
5	Großes	Großes	N	NN	Neut|_|Sg	2	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	bloß	bloß	A	ADV	_	8	adv	_	_
8	so	so	A	ADV	_	2	adv	_	_
9	wie	wie	K	KOKOM	_	2	kom	_	_
10	immer	immer	A	ADV	_	9	cj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Dein	deine	A	PPOSAT	_|_|Sg	2	det	95	95
2	Sarastro	Sarastro	N	NN	_|_|Sg	0	root	_	_
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	denn	denn	A	ADV	_	3	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	96	96
6	Neffe	Neffe	N	NN	Masc|Nom|Sg	3	subj	96	96
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Stine	Stine	N	NE	_|Nom|Sg	9	subj	75	75
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	97	97
4	nich	nich	V	VVINF	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	alle	alle	A	PIDAT	_|_|Pl	4	det	_	_
4	Neffen	Neffe	N	NN	_|_|Pl	5	obja	_	_
5	kennen	kennen	V	VVINF	_	2	aux	_	_
6	?	?	$	$.	_	0	root	_	_

1	Denkst	denken	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	10	konj	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	97	97
6	mich	ich	P	PRF	1|Sg|Acc	10	obja	_	_
7	um	um	P	APPR	Acc	10	objp	_	_
8	seinen	seine	A	PPOSAT	Masc|Acc|Sg	9	det	21	21
9	Stammbaum	Stammbaum	N	NN	Masc|Acc|Sg	7	pn	_	_
10	kümmere	kümmern	V	VVFIN	1|Sg|Pres|_	1	objc	_	_
11	?	?	$	$.	_	0	root	_	_

1	Jott	Jott	N	NE	_	0	root	93	93
2	,	,	$	$,	_	0	root	_	_
3	wie	wie	P	PWAV	_	7	pred	_	_
4	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	damit	damit	P	PROAV	_	7	pp	_	_
7	aussehen	aussehen	V	VVINF	_	4	aux	_	_
8	!	!	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	überhaupt	überhaupt	A	ADV	_	4	adv	_	_
4	Stammbäume	Stammbaum	N	NN	Masc|_|Pl	0	root	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Laß	Laß	V	VVIMP	_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	21	21
4	das	die	A	ART	Def|Neut|_|Sg	5	det	57	57
5	nich	nich	N	NN	Neut|_|Sg	6	obja	57	57
6	hören	hören	V	VVINF	_	0	root	_	_
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	der	die	P	PRELS	Masc|Nom|Sg	5	subj	_	_
5	hört	hören	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	_
6	noch	noch	A	ADV	_	5	adv	_	_
7	ganz	ganz	A	ADV	_	8	adv	_	_
8	andres	andere	P	PIS	_|_|Sg	5	obja	_	_
9	.	.	$	$.	_	0	root	_	_

1	Oder	oder	K	KON	_	2	koord	_	_
2	denkst	denken	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	99	99
4	,	,	$	$,	_	0	root	_	_
