7	Ungeduld	Ungeduld	N	NN	Fem|Dat|Sg	5	cj	_	_
8	hab	hab	V	VAFIN	1|Sg|_|_	1	cj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	911	911
10	dich	du	P	PPER	2|Sg|_|Acc	12	obja	915	915
11	mit	mit	A	ADV	_	12	adv	_	_
12	fortgezwungen	fortzwingen	V	VVPP	_	8	aux	_	_
13	und	und	K	KON	_	8	kon	_	_
14	habe	haben	V	VAFIN	_|Sg|Pres|_	13	cj	_	_
15	dich	du	P	PRF	2|Sg|Acc	20	obja	_	_
16	um	um	P	APPR	Acc	20	objp	_	_
17	Glück	Glück	N	NN	Neut|Acc|Sg	16	pn	916	916
18	und	und	K	KON	_	17	kon	_	_
19	Leben	Leben	N	NN	Neut|Acc|_	18	cj	220	220
20	gebracht	bringen	V	VVPP	_	14	aux	_	_
21	.	.	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	schüttelte	schütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	209	209
4	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	209	209
5	und	und	K	KON	_	2	kon	_	_
6	wiederholte	wiederholen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	nur	nur	A	ADV	_	6	adv	_	_
8	leise	leise	A	ADJD	Pos|	6	adv	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Laß	Laß	V	VVIMP	_	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|_	11	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	Grete	Grete	N	NE	Fem|_|Sg	12	kon	10	10
15	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	915	915
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	911	911
4	nicht	nicht	P	PTKNEG	_	8	adv	_	_
5	um	um	P	APPR	Acc	8	objp	_	_
6	das	die	A	ART	Def|Neut|Acc|Sg	7	det	551	551
7	Glück	Glück	N	NN	Neut|Acc|Sg	5	pn	551	551
8	gebracht	bringen	V	VVPP	_	2	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	nur	nur	A	ADV	_	2	adv	_	_
4	anders	anders	A	ADV	_	2	adv	_	_
5	als	als	K	KOKOM	_	2	kom	_	_
6	andrer	andere	A	PIDAT	_|Gen|Pl	7	det	_	_
7	Leute	Leute	N	NN	_|Gen|Pl	5	cj	_	_
8	Glück	Glück	N	NN	Neut|Nom|Sg	2	pred	916	916
9	.	.	$	$.	_	0	root	_	_

1	Weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	37	neb	_	_
2	du	du	P	PPER	2|Sg|_|Nom	1	subj	915	915
3	noch	noch	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	als	als	K	KOKOM	_	10	kom	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	5	cj	919	919
7	auf	auf	P	APPR	Dat	6	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	785	785
9	Floß	Floß	N	NN	Neut|Dat|Sg	7	pn	785	785
10	fuhren	fahren	V	VVFIN	_|Pl|Past|Ind	1	kon	_	_
11	und	und	K	KON	_	1	kon	_	_
12	das	die	A	ART	Def|Neut|_|Sg	13	det	917	917
13	Schilf	Schilf	N	NN	Neut|_|Sg	14	obja	917	917
14	streiften	streifen	V	VVFIN	_|Pl|Past|_	11	cj	_	_
15	und	und	K	KON	_	14	kon	_	_
16	die	die	A	ART	Def|Masc|Nom|Pl	17	det	918	918
17	Wasservögel	Wasservogel	N	NN	Masc|Nom|Pl	18	subj	918	918
18	aufflogen	auffliegen	V	VVFIN	3|Pl|Past|Ind	15	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	ach	ach	I	ITJ	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	wie	wie	P	PWAV	_	23	adv	_	_
23	stand	stehen	V	VVFIN	3|Sg|Past|Ind	37	objc	_	_
24	da	da	A	ADV	_	23	adv	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	216	216
26	Himmel	Himmel	N	NN	Masc|Nom|Sg	23	subj	216	216
27	so	so	A	ADV	_	28	adv	_	_
28	blau	blau	A	ADJD	Pos|	37	pred	_	_
29	und	und	K	KON	_	28	kon	_	_
30	golden	golden	A	ADJD	Pos|	29	cj	_	_
31	über	über	P	APPR	_	37	pp	_	_
32	uns	wir	P	PPER	1|Pl|_|_	31	pn	919	919
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	31	kon	_	_
35	wie	wie	P	PWAV	_	36	adv	_	_
36	hell	hell	A	ADJD	Pos|	34	cj	_	_
