55	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	53	pn	_	_
56	,	,	$	$,	_	0	root	_	_
57	seinem	seine	A	PPOSAT	Neut|Dat|Sg	58	det	4	4
58	Haus	Haus	N	NN	Neut|Dat|Sg	55	app	_	_
59	,	,	$	$,	_	0	root	_	_
60	aus	aus	P	APPR	Dat	45	pp	_	_
61	dem	die	A	ART	Def|Neut|Dat|Sg	62	det	82	82
62	Abenteuer	Abenteuer	N	NN	Neut|Dat|Sg	60	pn	82	82
63	in	in	P	APPR	Acc	45	pp	_	_
64	ihre	ihre	A	PPOSAT	Fem|Acc|Sg	67	det	6	6
65	ruhige	ruhig	A	ADJA	Pos|Fem|Acc|Sg|_|	67	attr	439	439
66	bürgerliche	bürgerlich	A	ADJA	Pos|Fem|Acc|Sg|_|	67	attr	439	439
67	Welt	Welt	N	NN	Fem|Acc|Sg	63	pn	439	439
68	zurück	zurück	P	PTKVZ	_	45	avz	_	_
69	.	.	$	$.	_	0	root	_	_

1	Kaum	kaum	A	ADV	_	2	adv	_	_
2	wagte	wagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	7	7
4	in	in	P	APPR	Acc	8	pp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Spiegel	Spiegel	N	NN	Masc|Acc|Sg	4	pn	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	schauen	schauen	V	VVINF	_	2	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	aus	aus	P	APPR	Dat	21	pp	_	_
11	Furcht	Furcht	N	NN	Fem|Dat|Sg	10	pn	8	8
12	vor	vor	P	APPR	Dat	11	pp	8	8
13	dem	die	A	ART	Def|Neut|Dat|Sg	14	det	358	358
14	Mißtrauen	Mißtrauen	N	NN	Neut|Dat|Sg	12	pn	358	358
15	im	in	P	APPRART	Dat	14	pp	358	358
16	eigenen	eigen	A	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	358	358
17	Blick	Blick	N	NN	Masc|Dat|Sg	15	pn	8	8
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	15	kon	_	_
20	doch	doch	A	ADV	_	19	cj	_	_
21	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
23	nötig	nötig	A	ADJD	Pos|	25	adv	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	prüfen	prüfen	V	VVINF	_	21	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	ob	ob	K	KOUS	_	38	konj	_	_
28	nichts	nichts	P	PIS	_|Nom|Sg	38	subj	_	_
29	an	an	P	APPR	Dat	38	pp	_	_
30	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	31	det	8	8
31	Kleidung	Kleidung	N	NN	Fem|Dat|Sg	29	pn	_	_
32	die	die	A	ART	Def|Fem|_|Sg	33	det	_	_
33	Leidenschaft	Leidenschaft	N	NN	Fem|_|Sg	38	obja	_	_
34	der	die	A	ART	Def|Fem|Gen|Sg	35	det	155	155
35	Stunde	Stunde	N	NN	Fem|Gen|Sg	33	gmod	155	155
36	durch	durch	P	APPR	Acc	38	pp	_	_
37	Verwirrung	Verwirrung	N	NN	Fem|Acc|Sg	36	pn	_	_
38	verriete	verraten	V	VVFIN	3|Sg|Past|Subj	25	objc	_	_
39	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	jene	jene	A	PDAT	Neut|Nom|Pl	9	det	9	9
