17	Fackeln	Fackel	N	NN	Fem|Gen|Pl	14	gmod	_	_
18	grell	grell	A	ADJD	Pos|	24	adv	_	_
19	in	in	P	APPR	Acc	24	objp	_	_
20	alle	alle	A	PIDAT	Fem|Acc|Pl	21	det	_	_
21	Scheiben	Scheibe	N	NN	Fem|Acc|Pl	19	pn	_	_
22	der	die	A	ART	Def|Fem|Gen|Sg	23	det	_	_
23	Beletage	Beletage	N	NN	Fem|Gen|Sg	21	gmod	_	_
24	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	12	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	eilte	eilen	V	VVFIN	3|Sg|Past|_	0	root	_	_
27	Frau	Frau	N	NN	Fem|Nom|Sg	26	subj	147	147
28	von	von	P	APPR	_	26	objp	_	_
29	Carayon	Carayon	N	NE	Fem|_|Sg	28	pn	0	0
30	,	,	$	$,	_	0	root	0	0
31	die	die	P	PRELS	Fem|Nom|Sg	35	subj	0	0
32	sich	sie	P	PRF	3|_|_	35	obja	_	_
33	zufällig	zufällig	A	ADJD	Pos|	35	adv	_	_
34	allein	allein	A	ADV	_	35	adv	_	_
35	befand	befinden	V	VVFIN	3|Sg|Past|Ind	29	rel	_	_
36	,	,	$	$,	_	0	root	_	_
37	erschreckt	erschrecken	V	VVFIN	_|_|Pres|Ind	35	kon	_	_
38	ans	an	P	APPRART	Acc	37	pp	_	_
39	Fenster	Fenster	N	NN	Neut|Acc|_	38	pn	_	_
40	und	und	K	KON	_	37	kon	936)	936)
41	sah	sehen	V	VVFIN	_|Sg|Past|Ind	40	cj	936)	936)
42	auf	auf	P	APPR	Acc	41	pp	936)	936)
43	die	die	A	ART	Def|_|Acc|_	44	det	830	830
44	Straße	Straß	N	NN	_|Acc|_	42	pn	830	830
45	hinaus	hinaus	P	PTKVZ	_	26	avz	_	_
46	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	15	koord	_	_
2	statt	statt	P	APPR	Gen	15	pp	_	_
3	des	die	A	ART	Def|_|Gen|Sg	4	det	_	_
4	Rufes	Ruf	N	NN	Neut|Gen|Pl	2	pn	_	_
5	»	»	$	$(	_	0	root	_	_
6	Feuer	Feuer	N	NN	Neut|Gen|Pl	4	app	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	den	die	P	PRELS	Masc|Acc|Sg	13	obja	_	_
