7	die	die	A	ART	Def|Fem|Acc|Sg	8	det	_	_
8	Stelle	Stelle	N	NN	Fem|Acc|Sg	6	pn	_	_
9	des	die	A	ART	Def|Neut|Gen|Sg	12	det	1452	1452
10	herkömmlichen	herkömmlich	A	ADJA	Pos|Neut|Gen|Sg|_|	12	attr	1452	1452
11	dreimaligen	dreimalig	A	ADJA	Pos|Neut|Gen|Sg|_|	12	attr	1452	1452
12	Aufgebots	Aufgebot	N	NN	Neut|Gen|Sg	8	gmod	1452	1452
13	ein	eine	A	ART	Indef|_|_|Sg	14	det	_	_
14	einmaliges	einmalig	A	ADJA	Neut|_|Sg	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	setzen	setzen	V	VVINF	_	2	subjc	_	_
17	;	;	$	$.	_	0	root	_	_
18	das	die	P	PDS	Neut|Nom|Sg	19	subj	_	_
19	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
20	nächsten	nah	A	ADJA	_|_|Dat|Sg|Wk|	21	attr	_	_
21	Sonntag	Sonntag	N	NN	_|Dat|Sg	22	objd	_	_
22	geschehen	geschehen	V	VVINF	_	19	aux	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	19	kon	_	_
25	am	an	P	APPRART	Dat	51	pp	_	_
26	Freitage	Freitag	N	NN	Masc|Dat|Sg	25	pn	_	_
27	der	die	A	ART	Def|Fem|Gen|Sg	29	det	_	_
28	nächsten	nah	A	ADJA	_|Fem|Gen|Sg|Wk|	29	attr	_	_
29	Woche	Woche	N	NN	Fem|Gen|Sg	26	gmod	_	_
30	-	-	$	$(	_	0	root	_	_
31	denn	denn	K	KON	_	29	par	_	_
32	die	die	A	ART	Def|Masc|_|Pl	33	det	1447	1447
33	Freitage	Freitag	N	NN	Masc|_|Pl	49	obja	1447	1447
34	,	,	$	$,	_	0	root	1447	1447
35	die	die	P	PRELS	Masc|Nom|Pl	39	subj	1447	1447
36	gemeinhin	gemeinhin	A	ADJD	_	39	adv	_	_
37	für	für	P	APPR	Acc	39	pp	_	_
38	Unglückstage	Unglückstag	N	NN	_|Acc|Pl	37	pn	_	_
39	gölten	gelten	V	VVFIN	3|Pl|Past|Subj	33	rel	_	_
40	,	,	$	$,	_	0	root	_	_
41	hätte	haben	V	VAFIN	3|Sg|Past|Subj	31	cj	_	_
42	sie	sie	P	PPER	3|Sg|Fem|Nom	41	subj	152	152
43	persönlich	persönlich	A	ADJD	Pos|	49	adv	_	_
44	von	von	P	APPR	_	49	pp	_	_
45	der	die	A	ART	Def|Fem|_|Sg	48	det	_	_
46	durchaus	durchaus	A	ADV	_	47	adv	_	_
47	entgegengesetzten	entgegengesetzt	A	ADJA	Pos|Fem|_|Sg|Wk|	48	attr	_	_
48	Seite	Seite	N	NN	Fem|_|Sg	44	pn	_	_
49	kennengelernt	kennengelernt	V	VVPP	_	41	aux	_	_
50	-	-	$	$(	_	0	root	_	_
51	werde	werden	V	VAFIN	3|Sg|Pres|Subj	24	cj	_	_
52	dann	dann	A	ADV	_	56	adv	_	_
53	die	die	A	ART	Def|Fem|Nom|Sg	54	det	1448	1448
54	Hochzeit	Hochzeit	N	NN	Fem|Nom|Sg	51	subj	1448	1448
55	zu	zu	P	PTKZU	_	56	part	_	_
56	folgen	folgen	V	VVINF	_	51	aux	_	_
57	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	_
58	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	zwar	zwar	A	ADV	_	3	adv	_	_
3	in	in	P	APPR	Dat	1	cj	_	_
4	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	6	det	1448	1448
5	eignen	eignen	A	ADJA	_|Fem|Dat|Sg|_	6	attr	_	_
6	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	3	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	da	da	K	KOUS	_	19	konj	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	1448	1448
10	Hochzeiten	Hochzeit	N	NN	Fem|_|Pl	19	obja	_	_
11	in	in	P	APPR	Dat	19	pp	_	_
12	einem	eine	A	ART	Indef|Neut|Dat|Sg	13	det	_	_
13	Hotel	Hotel	N	NN	Neut|Dat|Sg	11	pn	_	_
14	oder	oder	K	KON	_	13	kon	_	_
15	Gasthause	Gasthaus	N	NN	Neut|Dat|Sg	14	cj	_	_
16	von	von	P	APPR	_	15	pp	_	_
17	ganzer	ganz	A	ADJA	Pos|Fem|_|Sg|St|	18	attr	_	_
