14	Das	die	P	PDS	Neut|Nom|Sg	15	subj	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	dein	deine	A	PPOSAT	Neut|Nom|Sg	17	det	799	799
17	Blut	Blut	N	NN	Neut|Nom|Sg	15	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	mein	meine	A	PPOSAT	Neut|Nom|Sg	20	det	738	738
20	Kind	Kind	N	NN	Neut|Nom|Sg	17	app	_	_
21	;	;	$	$.	_	0	root	_	_
22	wir	wir	P	PPER	1|Pl|_|Nom	23	subj	800	800
23	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
24	wissen	wissen	V	VVINF	_	23	aux	_	_
25	,	,	$	$,	_	0	root	_	_
26	wogegen	wogegen	P	PWAV	_	29	pp	_	_
27	wir	wir	P	PPER	1|Pl|_|Nom	30	subj	800	800
28	zu	zu	P	PTKZU	_	29	part	_	_
29	kämpfen	kämpfen	V	VVINF	_	30	aux	_	_
30	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
31	!	!	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	so	so	A	ADV	_	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	mit	mit	P	APPR	Dat	9	pp	_	_
6	einem	eine	A	ART	Indef|Neut|Dat|Sg	7	det	_	_
7	Worte	Wort	N	NN	Neut|Dat|Sg	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	10	10
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	801	801
12	Hund	Hund	N	NN	Masc|Acc|Sg	9	obja	801	801
13	,	,	$	$,	_	0	root	801	801
14	der	die	P	PRELS	Masc|Nom|Sg	21	subj	801	801
15	mit	mit	P	APPR	Dat	21	pp	_	_
16	gesenktem	gesenkt	A	ADJA	Pos|Masc|Dat|Sg|St|	17	attr	_	_
17	Kopfe	Kopf	N	NN	Masc|Dat|Sg	15	pn	_	_
18	von	von	P	APPR	Dat	21	pp	_	_
19	dem	die	A	ART	Def|Masc|Dat|Sg	20	det	795	795
20	Igel	Igel	N	NN	Masc|Dat|Sg	18	pn	795	795
21	abließ	ablassen	V	VVFIN	3|Sg|Past|Ind	12	rel	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	738	738
2	Wildmeister	Wildmeister	N	NN	Masc|Nom|Sg	3	subj	738	738
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	wohl	wohl	A	ADV	_	9	adv	_	_
5	selbst	selbst	A	ADV	_	9	adv	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
7	jähzorniger	jähzornig	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Mann	Mann	N	NN	Masc|Nom|Sg	9	pred	_	_
9	gewesen	sein	V	VAPP	_	3	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	aber	aber	K	KON	_	3	kon	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	738	738
13	hatte	haben	V	VAFIN	3|Sg|Past|Ind	11	cj	_	_
14	gelernt	lernen	V	VVPP	_	13	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	sich	sie	P	PRF	3|_|_	18	obja	_	_
17	zu	zu	P	PTKZU	_	18	part	_	_
18	besiegen	besiegen	V	VVINF	_	14	obji	_	_
19	;	;	$	$.	_	0	root	_	_
20	davon	davon	P	PROAV	_	21	pp	_	_
21	erhielt	erhalten	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	738	738
23	Beweis	Beweis	N	NN	Masc|_|Sg	21	obja	_	_
24	in	in	P	APPR	_	21	pp	_	_
25	eigner	eigner	A	ADJA	_|_|_|Sg|_	26	attr	_	_
26	Gegenwart	Gegenwart	N	NN	_|_|Sg	24	pn	_	_
27	.	.	$	$.	_	0	root	_	_

1	Unser	unsre	A	PPOSAT	_|Nom|Sg	2	det	800	800
2	Pastor	Pastor	N	NN	_|Nom|Sg	3	subj	802	802
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	in	in	P	APPR	Dat	3	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	38	38
6	Stadt	Stadt	N	NN	Fem|Dat|Sg	4	pn	38	38
7	zum	zu	P	APPRART	Dat	9	pp	_	_
8	Diakonate	Diakonate	N	NN	_|Dat|_	7	pn	_	_
9	präsentieret	präsentieren	V	VVFIN	2|Pl|Pres|Subj	3	s	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	3	kon	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	738	738
13	hatte	haben	V	VAFIN	1|Sg|Past|Ind	11	cj	_	_
14	Lust	Lust	N	NN	Fem|_|Sg	13	obja	_	_
15	zu	zu	P	APPR	Dat	13	pp	_	_
16	seiner	seine	A	PPOSAT	Fem|Dat|Sg	17	det	802	802
17	Nachfolge	Nachfolge	N	NN	Fem|Dat|Sg	15	pn	_	_
18	hier	hier	A	ADV	_	15	adv	_	_
19	im	in	P	APPRART	Dat	13	pp	_	_
