17	gerufen	gerufen	A	ADJD	Pos|	18	adv	_	_
18	drang	dringen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	_	_
20	Vogelschall	Vogelschall	N	NN	Masc|Nom|Sg	18	subj	_	_
21	von	von	P	APPR	Dat	20	pp	_	_
22	Neuem	Neuer	N	NN	_|Dat|Sg	21	pn	_	_
23	aus	aus	P	APPR	Dat	18	objp	_	_
24	der	die	A	ART	Def|Fem|Dat|Sg	25	det	452	452
25	Tiefe	Tiefe	N	NN	Fem|Dat|Sg	23	pn	452	452
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	18	kon	_	_
28	das	die	A	ART	Def|Neut|Nom|Sg	29	det	329	329
29	Mondlicht	Mondlicht	N	NN	Neut|Nom|Sg	30	subj	329	329
30	glitzerte	glitzern	V	VVFIN	3|Sg|Past|_	27	cj	_	_
31	auf	auf	P	APPR	Dat	30	pp	_	_
32	den	die	A	ART	Def|Neut|Dat|Pl	33	det	_	_
33	Blättern	Blatt	N	NN	Neut|Dat|Pl	31	pn	_	_
34	der	die	A	ART	Def|Fem|Gen|Pl	35	det	_	_
35	Hülsen	Hülse	N	NN	Fem|Gen|Pl	33	gmod	_	_
36	und	und	K	KON	_	33	kon	_	_
37	den	die	A	ART	Def|Fem|Dat|Pl	38	det	_	_
38	Nadeln	Nadel	N	NN	Fem|Dat|Pl	36	cj	_	_
39	des	die	A	ART	Def|_|Gen|Sg	40	det	468	468
40	Taxus	Taxus	N	NN	_|Gen|Sg	38	gmod	468	468
41	;	;	$	$.	_	0	root	_	_
42	von	von	P	APPR	Dat	44	pp	_	_
43	Düften	Duft	N	NN	Masc|Dat|Pl	42	pn	_	_
44	schwamm	schwimmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
45	es	es	P	PPER	3|Sg|Neut|Nom	44	subj	_	_
46	in	in	P	APPR	Dat	44	pp	_	_
47	der	die	A	ART	Def|Fem|Dat|Sg	48	det	279	279
48	Luft	Luft	N	NN	Fem|Dat|Sg	46	pn	279	279
49	.	.	$	$.	_	0	root	_	_

1	Einen	ein	A	ART	Indef|Masc|Acc|Sg	2	det	_	_
2	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	3	obja	_	_
3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|Fem|Nom|Sg	5	det	218	218
5	Alte	Alt	N	NN	Fem|Nom|Sg	3	subj	218	218
6	,	,	$	$,	_	0	root	_	_
7	das	die	A	ART	Def|Neut|Nom|Sg	8	det	469	469
8	Ohr	Ohr	N	NN	Neut|Nom|Sg	9	subj	469	469
9	geneigt	neigen	V	VVPP	_	3	neb	_	_
10	:	\:	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Ja	ja	P	PTKANT	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	ja	ja	A	ADV	_	0	root	_	_
15	;	;	$	$.	_	0	root	_	_
16	du	du	P	PPER	2|Sg|_|Nom	17	subj	467	467
17	heil	heil	V	VVFIN	2|Sg|_|_	0	root	_	_
18	'	'	$	$(	_	0	root	_	_
19	ger	ger	A	ADJA	_|Masc|_|Sg|_	20	attr	_	_
20	Gott	Gott	N	NN	Masc|_|Sg	17	obja	_	_
21	;	;	$	$.	_	0	root	_	_
22	das	die	P	PDS	Neut|Nom|Sg	23	subj	_	_
23	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
24	ein	eine	A	ART	Indef|Neut|Nom|Sg	25	det	_	_
25	Plätzchen	Plätzchen	N	NN	Neut|Nom|Sg	23	pred	_	_
26	für	für	P	APPR	Acc	25	pp	_	_
27	die	die	A	ART	Def|Fem|Acc|Sg	28	det	264	264
28	Minne	Minne	N	NN	Fem|Acc|Sg	26	pn	264	264
29	hier	hier	A	ADV	_	26	adv	_	_
30	!	!	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_
32	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
33	sie	sie	P	PPER	3|Sg|Fem|Nom	32	subj	218	218
34	murmelnd	murmeln	A	ADJD	_|<PPRES	32	adv	_	_
35	vor	vor	P	APPR	_	32	pp	_	_
36	sich	sie	P	PRF	3|_|_	35	pn	_	_
37	hin	hin	A	APZR	_	35	part	_	_
38	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vor	vor	P	APPR	_	0	root	_	_
3	Zeiten	Zeit	N	NN	Fem|_|Pl	2	pn	_	_
4	;	;	$	$.	_	0	root	_	_
5	ach	ach	I	ITJ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	vor	vor	P	APPR	_	0	root	_	_
8	langen	lang	A	ADJA	Pos|Fem|_|Pl|_|	9	attr	471	471
