35	la	la	F	FM	Fem|Dat|Sg	34	app	98	98
36	Roca	Roca	F	FM	Fem|Dat|Sg	35	app	98	98
37	führte	führen	V	VVFIN	3|Sg|Past|_	22	rel	_	_
38	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	109	109
2	lagen	liegen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	diesseits	diesseits	P	PRF	_|_|Dat	2	objd	_	_
4	am	an	P	APPRART	Dat	2	objp	_	_
5	Rande	Rand	N	NN	_|Dat|Sg	4	pn	_	_
6	des	die	A	ART	Def|Neut|Gen|Sg	7	det	402	402
7	Gebüsches	Gebüsch	N	NN	Neut|Gen|Sg	5	gmod	402	402
8	;	;	$	$.	_	0	root	_	_
9	dann	dann	A	ADV	_	10	adv	_	_
10	kam	kommen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
12	schmaler	schmal	A	ADJA	Pos|Fem|Dat|Sg|St|	24	objd	_	_
13	,	,	$	$,	_	0	root	_	_
14	mit	mit	P	APPR	Dat	24	pp	_	_
15	Binsen	Binse	N	NN	Fem|Dat|Pl	14	pn	_	_
16	und	und	K	KON	_	15	kon	_	_
17	Schilf	Schilf	N	NN	Neut|Dat|Sg	16	cj	_	_
18	bewachsener	bewachst	A	ADJA	Pos|_|Gen|Pl|St|	19	attr	_	_
19	Streifen	Streife	N	NN	_|Gen|Pl	15	gmod	_	_
20	,	,	$	$,	_	0	root	_	_
21	worauf	worauf	P	PWAV	_	24	objp	_	_
22	der	die	A	ART	Def|Masc|Nom|Sg	23	det	56	56
23	Tümpel	Tümpel	N	NN	Masc|Nom|Sg	24	subj	56	56
24	folgte	folgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	Jenseits	jenseits	P	APPR	Gen	3	pp	_	_
2	desselben	dieselbe	P	PDS	_|Gen|Sg	1	pn	_	_
3	saßen	sitzen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	doch	doch	K	KON	_	3	kon	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	am	an	P	APPRART	Dat	22	pp	_	_
8	Wasser	Wasser	N	NN	Neut|Dat|Sg	7	pn	108	108
9	,	,	$	$,	_	0	root	_	_
10	sondern	sondern	K	KON	_	7	kon	_	_
11	ganz	ganz	A	ADV	_	12	adv	_	_
12	nahe	nahe	A	ADJD	_	10	cj	_	_
13	bei	bei	P	APPR	Dat	12	pp	_	_
14	den	die	A	ART	Def|_|_|_	15	det	_	_
15	Bäumen	Baum	N	NN	_|Dat|Pl	13	pn	_	_
16	,	,	$	$,	_	0	root	_	_
17	drei	drei	C	CARD	_	18	attr	_	_
18	Indianer	Indianer	N	NN	Masc|_|Pl	15	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	13	kon	_	_
21	dort	dort	A	ADV	_	20	cj	_	_
22	standen	stehen	V	VVFIN	_|Pl|Past|Ind	5	cj	_	_
23	auch	auch	A	ADV	_	22	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	an	an	P	APPR	Acc	28	pp	_	_
26	fünf	fünf	C	CARD	_	27	attr	_	_
27	Stämme	Stamm	N	NN	Masc|Acc|Pl	25	pn	_	_
28	festgebunden	festbinden	V	VVPP	_	22	neb	_	_
29	,	,	$	$,	_	0	root	_	_
30	die	die	A	ART	Def|_|_|Pl	31	det	_	_
31	Weißen	Weiße	N	NN	_|_|Pl	0	root	_	_
32	aus	aus	P	APPR	Dat	31	pp	_	_
33	Ures	Ur	N	NN	Neut|Dat|_	32	pn	71	71
34	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	109	109
2	fanden	finden	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	die	die	A	ART	Def|Neut|_|Pl	4	det	595	595
4	Verhältnisse	Verhältnis	N	NN	Neut|_|Pl	2	obja	595	595
5	genau	genau	A	ADJD	Pos|	6	adv	_	_
6	so	so	A	ADV	_	2	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	0	root	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	12	pred	109	109
10	sie	sie	P	PPER	3|_|_|_	12	obja	110	110
11	zu	zu	P	PTKZU	_	12	part	_	_
12	finden	finden	V	VVINF	_	0	root	_	_
